Frequency [Hz]	S(f)
0,000	0,0025
3,662	0,00739
7,324	0,0103
10,986	0,0108
14,648	0,0107
18,311	0,0107
21,973	0,0107
25,635	0,0108
29,297	0,0108
32,959	0,0108
36,621	0,0109
40,283	0,0108
43,945	0,0107
47,607	0,0106
51,270	0,0107
54,932	0,0107
58,594	0,0105
62,256	0,0104
65,918	0,0104
69,580	0,0104
73,242	0,0104
76,904	0,0102
80,566	0,0101
84,229	0,0102
87,891	0,0104
91,553	0,0104
95,215	0,0101
98,877	0,0101
102,539	0,0103
106,201	0,0104
109,863	0,0102
113,525	0,00988
117,188	0,00977
120,850	0,00992
124,512	0,0101
128,174	0,0101
131,836	0,0101
135,498	0,0101
139,160	0,0102
142,822	0,0104
146,484	0,0105
150,146	0,0104
153,809	0,0101
157,471	0,00998
161,133	0,00994
164,795	0,00985
168,457	0,00969
172,119	0,00951
175,781	0,00949
179,443	0,00975
183,105	0,01
186,768	0,01
190,430	0,00981
194,092	0,00958
197,754	0,00943
201,416	0,00941
205,078	0,00956
208,740	0,00973
212,402	0,00984
216,064	0,00985
219,727	0,00977
223,389	0,00974
227,051	0,00981
230,713	0,00979
234,375	0,00966
238,037	0,00967
241,699	0,00964
245,361	0,00948
249,023	0,00943
252,686	0,00939
256,348	0,0093
260,010	0,00929
263,672	0,00932
267,334	0,00937
270,996	0,0095
274,658	0,00957
278,320	0,00946
281,982	0,00929
285,645	0,00923
289,307	0,00929
292,969	0,0094
296,631	0,00948
300,293	0,00945
303,955	0,00926
307,617	0,00907
311,279	0,00905
314,941	0,00921
318,604	0,00941
322,266	0,00939
325,928	0,00915
329,590	0,00892
333,252	0,0088
336,914	0,00881
340,576	0,00883
344,238	0,00883
347,900	0,0089
351,563	0,00901
355,225	0,00898
358,887	0,0089
362,549	0,00901
366,211	0,0092
369,873	0,00921
373,535	0,00911
377,197	0,00904
380,859	0,00896
384,521	0,00894
388,184	0,00902
391,846	0,00914
395,508	0,00901
399,170	0,00864
402,832	0,00845
406,494	0,00838
410,156	0,00836
413,818	0,00852
417,480	0,00872
421,143	0,00872
424,805	0,00862
428,467	0,00867
432,129	0,0089
435,791	0,00901
439,453	0,00889
443,115	0,00884
446,777	0,00898
450,439	0,00896
454,102	0,00879
457,764	0,00872
461,426	0,00875
465,088	0,0088
468,750	0,00881
472,412	0,00864
476,074	0,00841
479,736	0,00839
483,398	0,00852
487,061	0,00855
490,723	0,0085
494,385	0,00842
498,047	0,00847
501,709	0,00879
505,371	0,00901
509,033	0,00881
512,695	0,00845
516,357	0,0083
520,020	0,00845
523,682	0,00865
527,344	0,00859
531,006	0,00836
534,668	0,00831
538,330	0,00848
541,992	0,00862
545,654	0,00858
549,316	0,00839
552,979	0,00816
556,641	0,00803
560,303	0,00798
563,965	0,00801
567,627	0,00809
571,289	0,00811
574,951	0,00815
578,613	0,00824
582,275	0,0082
585,938	0,00804
589,600	0,00795
593,262	0,00809
596,924	0,00831
600,586	0,00837
604,248	0,00834
607,910	0,00828
611,572	0,00821
615,234	0,00822
618,896	0,00827
622,559	0,00828
626,221	0,00828
629,883	0,00828
633,545	0,00818
637,207	0,00796
640,869	0,00779
644,531	0,00781
648,193	0,008
651,855	0,00814
655,518	0,00811
659,180	0,00798
662,842	0,00791
666,504	0,008
670,166	0,00806
673,828	0,008
677,490	0,008
681,152	0,00808
684,814	0,00815
688,477	0,00808
692,139	0,00796
695,801	0,0079
699,463	0,00784
703,125	0,00781
706,787	0,00782
710,449	0,00785
714,111	0,00787
717,773	0,00785
721,436	0,00783
725,098	0,0078
728,760	0,0078
732,422	0,0079
736,084	0,00797
739,746	0,00789
743,408	0,00781
747,070	0,00775
750,732	0,00777
754,395	0,00785
758,057	0,00788
761,719	0,00781
765,381	0,00771
769,043	0,00764
772,705	0,00746
776,367	0,00735
780,029	0,0075
783,691	0,00766
787,354	0,00767
791,016	0,00761
794,678	0,00765
798,340	0,00776
802,002	0,0077
805,664	0,00753
809,326	0,0074
812,988	0,00732
816,650	0,00726
820,313	0,00734
823,975	0,00758
827,637	0,00774
831,299	0,00774
834,961	0,00777
838,623	0,0078
842,285	0,00774
845,947	0,00755
849,609	0,00743
853,271	0,00747
856,934	0,00752
860,596	0,00755
864,258	0,00756
867,920	0,0076
871,582	0,00772
875,244	0,00769
878,906	0,00742
882,568	0,00732
886,230	0,00744
889,893	0,00746
893,555	0,00734
897,217	0,00723
900,879	0,00725
904,541	0,0074
908,203	0,0075
911,865	0,00754
915,527	0,00758
919,189	0,00768
922,852	0,00776
926,514	0,00769
930,176	0,00753
933,838	0,00746
937,500	0,00739
941,162	0,00722
944,824	0,00711
948,486	0,00727
952,148	0,00755
955,811	0,00757
959,473	0,00736
963,135	0,00733
966,797	0,00742
970,459	0,00734
974,121	0,00723
977,783	0,00723
981,445	0,00729
985,107	0,00727
988,770	0,00714
992,432	0,00705
996,094	0,00704
999,756	0,00708
1003,418	0,00708
1007,080	0,00704
1010,742	0,00702
1014,404	0,00703
1018,066	0,0072
1021,729	0,00743
1025,391	0,00747
1029,053	0,00726
1032,715	0,00694
1036,377	0,00675
1040,039	0,00687
1043,701	0,00717
1047,363	0,00728
1051,025	0,00711
1054,688	0,00703
1058,350	0,00719
1062,012	0,00733
1065,674	0,0074
1069,336	0,00742
1072,998	0,00731
1076,660	0,00721
1080,322	0,00724
1083,984	0,00723
1087,646	0,00707
1091,309	0,00688
1094,971	0,0068
1098,633	0,00684
1102,295	0,00685
1105,957	0,00676
1109,619	0,00679
1113,281	0,00695
1116,943	0,00699
1120,605	0,00695
1124,268	0,00696
1127,930	0,00693
1131,592	0,00675
1135,254	0,00656
1138,916	0,00658
1142,578	0,00681
1146,240	0,007
1149,902	0,00703
1153,564	0,00701
1157,227	0,00688
1160,889	0,00666
1164,551	0,00658
1168,213	0,00659
1171,875	0,0066
1175,537	0,00671
1179,199	0,00685
1182,861	0,00696
1186,523	0,007
1190,186	0,00689
1193,848	0,00671
1197,510	0,0066
1201,172	0,00662
1204,834	0,0067
1208,496	0,00674
1212,158	0,00681
1215,820	0,00688
1219,482	0,00686
1223,145	0,00683
1226,807	0,00675
1230,469	0,00665
1234,131	0,00667
1237,793	0,00676
1241,455	0,00673
1245,117	0,00653
1248,779	0,00634
1252,441	0,00627
1256,104	0,00638
1259,766	0,0066
1263,428	0,00676
1267,090	0,00672
1270,752	0,00653
1274,414	0,0064
1278,076	0,00635
1281,738	0,0063
