Frequency [Hz]	S(f)
0,000	0,22
3,662	0,57
7,324	0,664
10,986	0,564
14,648	0,451
18,311	0,374
21,973	0,324
25,635	0,297
29,297	0,282
32,959	0,262
36,621	0,244
40,283	0,237
43,945	0,235
47,607	0,235
51,270	0,236
54,932	0,233
58,594	0,23
62,256	0,228
65,918	0,226
69,580	0,224
73,242	0,222
76,904	0,218
80,566	0,212
84,229	0,21
87,891	0,21
91,553	0,207
95,215	0,203
98,877	0,203
102,539	0,201
106,201	0,194
109,863	0,189
113,525	0,188
117,188	0,187
120,850	0,187
124,512	0,186
128,174	0,183
131,836	0,178
135,498	0,173
139,160	0,166
142,822	0,159
146,484	0,157
150,146	0,158
153,809	0,159
157,471	0,157
161,133	0,151
164,795	0,145
168,457	0,142
172,119	0,141
175,781	0,14
179,443	0,139
183,105	0,134
186,768	0,129
190,430	0,125
194,092	0,125
197,754	0,123
201,416	0,119
205,078	0,116
208,740	0,113
212,402	0,111
216,064	0,109
219,727	0,108
223,389	0,106
227,051	0,105
230,713	0,102
234,375	0,1
238,037	0,0985
241,699	0,0969
245,361	0,0964
249,023	0,0965
252,686	0,0946
256,348	0,0905
260,010	0,0876
263,672	0,0871
267,334	0,0863
270,996	0,0848
274,658	0,0836
278,320	0,082
281,982	0,0801
285,645	0,0786
289,307	0,0777
292,969	0,0783
296,631	0,0784
300,293	0,0756
303,955	0,072
307,617	0,0705
311,279	0,0703
314,941	0,0699
318,604	0,0689
322,266	0,0685
325,928	0,0686
329,590	0,068
333,252	0,0666
336,914	0,0646
340,576	0,0627
344,238	0,0614
347,900	0,0607
351,563	0,0601
355,225	0,0596
358,887	0,0589
362,549	0,0578
366,211	0,0563
369,873	0,0546
373,535	0,0536
377,197	0,0538
380,859	0,0527
384,521	0,0498
388,184	0,0478
391,846	0,0478
395,508	0,0485
399,170	0,0488
402,832	0,0488
406,494	0,0486
410,156	0,0477
413,818	0,047
417,480	0,0469
421,143	0,0464
424,805	0,0456
428,467	0,0447
432,129	0,0435
435,791	0,0428
439,453	0,0427
443,115	0,0425
446,777	0,0423
450,439	0,0422
454,102	0,042
457,764	0,0411
461,426	0,0401
465,088	0,0398
468,750	0,0397
472,412	0,0387
476,074	0,0376
479,736	0,0373
483,398	0,0372
487,061	0,037
490,723	0,0374
494,385	0,0378
498,047	0,0374
501,709	0,0365
505,371	0,0361
509,033	0,0358
512,695	0,0349
