Frequency [Hz]	S(f)
0,000	0,176
3,662	0,473
7,324	0,573
10,986	0,505
14,648	0,422
18,311	0,359
21,973	0,319
25,635	0,297
29,297	0,278
32,959	0,262
36,621	0,249
40,283	0,239
43,945	0,234
47,607	0,237
51,270	0,238
54,932	0,23
58,594	0,217
62,256	0,204
65,918	0,194
69,580	0,184
73,242	0,176
76,904	0,171
80,566	0,168
84,229	0,165
87,891	0,157
91,553	0,15
95,215	0,146
98,877	0,141
102,539	0,139
106,201	0,135
109,863	0,129
113,525	0,122
117,188	0,118
120,850	0,114
124,512	0,11
128,174	0,105
131,836	0,101
135,498	0,0977
139,160	0,0958
142,822	0,0926
146,484	0,0898
150,146	0,0887
153,809	0,0871
157,471	0,0831
161,133	0,0787
164,795	0,0747
168,457	0,0716
172,119	0,0709
175,781	0,0707
179,443	0,069
183,105	0,067
186,768	0,0658
190,430	0,0639
194,092	0,0606
197,754	0,0574
201,416	0,0558
205,078	0,0552
208,740	0,0547
212,402	0,0538
216,064	0,052
219,727	0,0503
223,389	0,0491
227,051	0,0484
230,713	0,0482
234,375	0,0467
238,037	0,0446
241,699	0,0432
245,361	0,0425
249,023	0,0421
252,686	0,0413
256,348	0,0403
260,010	0,0395
263,672	0,0389
267,334	0,0381
270,996	0,037
274,658	0,0367
278,320	0,0372
281,982	0,0367
285,645	0,0352
289,307	0,0341
292,969	0,0332
296,631	0,0323
300,293	0,0321
303,955	0,0321
307,617	0,0315
311,279	0,0305
314,941	0,0293
318,604	0,0285
322,266	0,0281
325,928	0,0281
329,590	0,0277
333,252	0,027
336,914	0,0268
340,576	0,0268
344,238	0,0264
347,900	0,026
351,563	0,0263
355,225	0,0268
358,887	0,0262
362,549	0,0253
366,211	0,0249
369,873	0,0244
373,535	0,0234
377,197	0,0227
380,859	0,0227
384,521	0,0227
388,184	0,0226
391,846	0,0223
395,508	0,0217
399,170	0,0213
402,832	0,0214
406,494	0,0213
410,156	0,0206
413,818	0,0202
417,480	0,0202
421,143	0,0198
424,805	0,0192
428,467	0,0187
432,129	0,0188
435,791	0,019
439,453	0,019
443,115	0,0186
446,777	0,0181
450,439	0,0178
454,102	0,0176
457,764	0,0175
461,426	0,0172
465,088	0,0172
468,750	0,0173
472,412	0,0172
476,074	0,0167
479,736	0,0162
483,398	0,0158
487,061	0,0153
490,723	0,015
494,385	0,015
498,047	0,0149
501,709	0,0146
505,371	0,0145
509,033	0,0144
512,695	0,0142
516,357	0,014
520,020	0,0139
523,682	0,0139
527,344	0,014
531,006	0,0141
534,668	0,0138
538,330	0,0133
541,992	0,0132
545,654	0,0135
549,316	0,0133
552,979	0,0127
556,641	0,0124
560,303	0,0124
563,965	0,0125
567,627	0,0125
571,289	0,0122
574,951	0,0123
578,613	0,0125
582,275	0,0125
585,938	0,0123
589,600	0,012
593,262	0,0119
596,924	0,0119
600,586	0,0118
604,248	0,0117
607,910	0,0113
611,572	0,0111
615,234	0,0111
618,896	0,011
622,559	0,0108
626,221	0,0107
629,883	0,0106
633,545	0,0106
637,207	0,0107
640,869	0,0106
644,531	0,0105
