Frequency [Hz]	S(f)
0,000	0,298
3,662	0,743
7,324	0,786
10,986	0,557
14,648	0,367
18,311	0,275
21,973	0,229
25,635	0,196
29,297	0,173
32,959	0,155
36,621	0,14
40,283	0,128
43,945	0,123
47,607	0,12
51,270	0,115
54,932	0,109
58,594	0,104
62,256	0,102
65,918	0,103
69,580	0,102
73,242	0,097
76,904	0,0914
80,566	0,0891
84,229	0,0877
87,891	0,0856
91,553	0,0841
95,215	0,0846
98,877	0,0845
102,539	0,0816
106,201	0,08
109,863	0,0818
113,525	0,0831
117,188	0,0818
120,850	0,0803
124,512	0,0806
128,174	0,0813
131,836	0,0803
135,498	0,0782
139,160	0,077
142,822	0,0767
146,484	0,077
150,146	0,0788
153,809	0,0804
157,471	0,0806
161,133	0,0795
164,795	0,0785
168,457	0,0782
172,119	0,0776
175,781	0,0764
179,443	0,0748
183,105	0,074
186,768	0,0743
190,430	0,0752
194,092	0,0759
197,754	0,076
201,416	0,0752
205,078	0,0746
208,740	0,0752
212,402	0,0757
216,064	0,0763
219,727	0,0778
223,389	0,0787
227,051	0,0777
230,713	0,0764
234,375	0,0754
238,037	0,0748
241,699	0,0743
245,361	0,0729
249,023	0,0717
252,686	0,0715
256,348	0,0717
260,010	0,0725
263,672	0,0734
267,334	0,0742
270,996	0,0753
274,658	0,0759
278,320	0,0756
281,982	0,0759
285,645	0,0775
289,307	0,0806
292,969	0,0822
296,631	0,0797
300,293	0,0766
303,955	0,0756
307,617	0,0756
311,279	0,0763
314,941	0,0777
318,604	0,0793
322,266	0,08
325,928	0,0787
329,590	0,0772
333,252	0,077
336,914	0,0771
340,576	0,0768
344,238	0,0768
347,900	0,0777
351,563	0,0793
355,225	0,0796
358,887	0,0785
362,549	0,0781
366,211	0,0774
369,873	0,0767
373,535	0,0776
377,197	0,0784
380,859	0,0791
384,521	0,0793
388,184	0,0784
391,846	0,0781
395,508	0,0787
399,170	0,0785
402,832	0,0766
406,494	0,0749
410,156	0,0747
413,818	0,0756
417,480	0,0764
421,143	0,0774
424,805	0,0792
428,467	0,0788
432,129	0,0769
435,791	0,0766
439,453	0,0771
443,115	0,0768
446,777	0,076
450,439	0,0762
454,102	0,0778
457,764	0,0791
461,426	0,0796
465,088	0,0795
468,750	0,0786
472,412	0,0778
476,074	0,0772
479,736	0,0777
483,398	0,0791
487,061	0,0799
490,723	0,0804
494,385	0,081
498,047	0,0806
501,709	0,0791
505,371	0,0779
509,033	0,0771
512,695	0,0774
516,357	0,0784
520,020	0,078
523,682	0,0773
527,344	0,0783
531,006	0,0799
534,668	0,0802
538,330	0,0791
541,992	0,0771
545,654	0,076
549,316	0,0768
552,979	0,0772
556,641	0,0766
560,303	0,0768
563,965	0,0771
567,627	0,0761
571,289	0,0743
574,951	0,0735
578,613	0,074
582,275	0,0749
585,938	0,0753
589,600	0,0755
593,262	0,0763
596,924	0,0775
600,586	0,0774
604,248	0,0756
607,910	0,0741
611,572	0,0737
615,234	0,0739
618,896	0,0738
622,559	0,0746
626,221	0,0766
629,883	0,0771
633,545	0,0761
637,207	0,0743
640,869	0,0722
644,531	0,0716
648,193	0,072
651,855	0,0728
655,518	0,0748
659,180	0,0771
662,842	0,0762
666,504	0,0728
670,166	0,0704
673,828	0,0695
677,490	0,0697
681,152	0,0705
684,814	0,0709
688,477	0,0707
692,139	0,0711
695,801	0,0721
699,463	0,0721
703,125	0,0721
706,787	0,0728
710,449	0,0715
714,111	0,0693
717,773	0,0682
721,436	0,0676
725,098	0,0681
728,760	0,0688
732,422	0,0684
736,084	0,0673
739,746	0,0669
743,408	0,0674
747,070	0,0681
750,732	0,0693
754,395	0,0706
758,057	0,0723
761,719	0,0733
765,381	0,0722
769,043	0,0713
772,705	0,0709
776,367	0,0703
780,029	0,069
783,691	0,0673
787,354	0,0669
791,016	0,0672
794,678	0,0671
798,340	0,0669
802,002	0,0662
805,664	0,0657
809,326	0,0663
812,988	0,0671
816,650	0,0674
820,313	0,0671
823,975	0,0658
827,637	0,0646
831,299	0,0651
834,961	0,0663
838,623	0,0666
842,285	0,0649
845,947	0,063
849,609	0,0628
853,271	0,0625
856,934	0,0614
860,596	0,0609
864,258	0,0626
867,920	0,065
871,582	0,0658
875,244	0,0657
878,906	0,0653
882,568	0,0636
886,230	0,0614
889,893	0,0612
893,555	0,0622
897,217	0,062
900,879	0,0606
904,541	0,059
908,203	0,0588
911,865	0,0604
915,527	0,0616
919,189	0,0613
922,852	0,0602
926,514	0,0597
930,176	0,0604
933,838	0,0611
937,500	0,0607
941,162	0,0599
944,824	0,0596
948,486	0,0602
952,148	0,0604
955,811	0,0591
959,473	0,0576
963,135	0,0567
966,797	0,0573
970,459	0,0595
974,121	0,0614
977,783	0,0622
981,445	0,0616
985,107	0,0597
988,770	0,0582
992,432	0,0571
996,094	0,0566
999,756	0,0572
1003,418	0,0585
1007,080	0,0591
1010,742	0,0586
1014,404	0,0576
1018,066	0,057
1021,729	0,0568
1025,391	0,0564
1029,053	0,0557
1032,715	0,0559
1036,377	0,0571
1040,039	0,0576
1043,701	0,0568
1047,363	0,0556
1051,025	0,0557
1054,688	0,056
1058,350	0,0547
1062,012	0,0525
1065,674	0,0511
1069,336	0,0506
1072,998	0,0511
1076,660	0,0516
1080,322	0,0526
1083,984	0,0536
1087,646	0,0527
1091,309	0,0519
1094,971	0,0529
1098,633	0,0536
1102,295	0,0529
1105,957	0,0519
1109,619	0,0511
1113,281	0,0502
1116,943	0,0499
1120,605	0,051
1124,268	0,0528
1127,930	0,053
1131,592	0,0518
1135,254	0,051
1138,916	0,0514
1142,578	0,0514
1146,240	0,0507
1149,902	0,0493
1153,564	0,0481
1157,227	0,0482
1160,889	0,0489
1164,551	0,049
1168,213	0,0485
1171,875	0,048
1175,537	0,0476
1179,199	0,0472
1182,861	0,0465
1186,523	0,046
1190,186	0,0465
1193,848	0,0474
1197,510	0,0475
1201,172	0,0468
1204,834	0,0466
1208,496	0,0469
1212,158	0,0473
1215,820	0,0477
1219,482	0,0473
1223,145	0,0464
1226,807	0,0459
1230,469	0,0457
1234,131	0,0447
1237,793	0,044
1241,455	0,045
1245,117	0,0465
1248,779	0,047
1252,441	0,0467
1256,104	0,046
1259,766	0,0446
1263,428	0,0435
1267,090	0,0438
1270,752	0,0443
1274,414	0,044
1278,076	0,0433
1281,738	0,0432
1285,400	0,0432
1289,063	0,0431
1292,725	0,0433
1296,387	0,0436
1300,049	0,0434
1303,711	0,0431
1307,373	0,0429
1311,035	0,0428
1314,697	0,043
1318,359	0,0432
1322,021	0,0431
1325,684	0,043
1329,346	0,0429
1333,008	0,0429
1336,670	0,0432
1340,332	0,0439
1343,994	0,0439
1347,656	0,0426
1351,318	0,0411
1354,980	0,0405
1358,643	0,0405
1362,305	0,0404
1365,967	0,0402
1369,629	0,0403
1373,291	0,0403
1376,953	0,0402
1380,615	0,0401
1384,277	0,0398
1387,939	0,0393
1391,602	0,0391
1395,264	0,0396
1398,926	0,0404
1402,588	0,0407
1406,250	0,0402
1409,912	0,0395
1413,574	0,0392
1417,236	0,0388
1420,898	0,0386
1424,561	0,0385
1428,223	0,0383
1431,885	0,0379
1435,547	0,0378
1439,209	0,0379
1442,871	0,0378
1446,533	0,0372
1450,195	0,0364
1453,857	0,0363
1457,520	0,0366
1461,182	0,0361
1464,844	0,0355
1468,506	0,0362
1472,168	0,0373
1475,830	0,0381
1479,492	0,0382
1483,154	0,0376
1486,816	0,0374
1490,479	0,0382
1494,141	0,0386
1497,803	0,0375
1501,465	0,0362
1505,127	0,0353
1508,789	0,0349
1512,451	0,035
1516,113	0,0351
1519,775	0,0351
1523,438	0,035
1527,100	0,0354
1530,762	0,0359
1534,424	0,0354
1538,086	0,035
1541,748	0,0352
1545,410	0,035
1549,072	0,0347
1552,734	0,0349
1556,396	0,0348
1560,059	0,0341
1563,721	0,0341
1567,383	0,0344
1571,045	0,0342
1574,707	0,0342
1578,369	0,0342
1582,031	0,0336
1585,693	0,0332
1589,355	0,0338
1593,018	0,0342
1596,680	0,0336
1600,342	0,0331
1604,004	0,0331
1607,666	0,0329
1611,328	0,0325
1614,990	0,0325
1618,652	0,0329
1622,314	0,0334
1625,977	0,0331
1629,639	0,0324
1633,301	0,0316
1636,963	0,0308
1640,625	0,0304
1644,287	0,0305
1647,949	0,031
1651,611	0,032
1655,273	0,033
1658,936	0,0332
1662,598	0,0322
1666,260	0,0308
1669,922	0,0302
1673,584	0,0305
1677,246	0,0308
1680,908	0,0312
1684,570	0,0315
1688,232	0,031
1691,895	0,03
1695,557	0,0298
1699,219	0,0302
1702,881	0,0301
1706,543	0,03
1710,205	0,0301
1713,867	0,0301
1717,529	0,0299
1721,191	0,0295
1724,854	0,0287
1728,516	0,0284
1732,178	0,0287
1735,840	0,0288
1739,502	0,0288
1743,164	0,0285
1746,826	0,0284
1750,488	0,0286
1754,150	0,0288
1757,813	0,0286
1761,475	0,0284
1765,137	0,0284
1768,799	0,0278
1772,461	0,0273
1776,123	0,0277
1779,785	0,028
1783,447	0,0274
1787,109	0,0264
1790,771	0,0262
1794,434	0,0272
1798,096	0,0283
1801,758	0,0284
1805,420	0,0278
1809,082	0,0272
1812,744	0,0269
1816,406	0,0267
1820,068	0,0267
1823,730	0,0269
1827,393	0,0272
1831,055	0,0274
1834,717	0,0277
1838,379	0,0273
1842,041	0,0262
1845,703	0,0257
1849,365	0,0262
1853,027	0,0269
1856,689	0,0273
1860,352	0,0274
1864,014	0,0273
1867,676	0,0271
1871,338	0,0267
1875,000	0,026
1878,662	0,0255
1882,324	0,0254
1885,986	0,0258
1889,648	0,0262
1893,311	0,0258
1896,973	0,0249
1900,635	0,0247
1904,297	0,0251
1907,959	0,0253
1911,621	0,025
1915,283	0,0246
1918,945	0,024
1922,607	0,0234
1926,270	0,0236
1929,932	0,024
1933,594	0,0241
1937,256	0,0239
1940,918	0,0241
1944,580	0,0245
1948,242	0,0244
1951,904	0,0243
1955,566	0,0245
1959,229	0,0244
1962,891	0,024
1966,553	0,0236
1970,215	0,0235
1973,877	0,0236
1977,539	0,0238
1981,201	0,0238
1984,863	0,0236
1988,525	0,0237
1992,188	0,0239
1995,850	0,024
1999,512	0,024
2003,174	0,0237
2006,836	0,023
2010,498	0,0225
2014,160	0,0226
2017,822	0,0231
2021,484	0,0232
2025,146	0,0229
2028,809	0,0227
2032,471	0,0224
2036,133	0,022
2039,795	0,022
2043,457	0,0224
2047,119	0,0224
2050,781	0,0225
2054,443	0,023
2058,105	0,023
2061,768	0,0224
2065,430	0,0218
2069,092	0,0215
2072,754	0,0216
2076,416	0,0217
2080,078	0,0217
2083,740	0,0216
2087,402	0,0211
2091,064	0,0207
2094,727	0,0209
2098,389	0,0213
2102,051	0,0214
2105,713	0,0212
2109,375	0,021
2113,037	0,021
2116,699	0,0209
2120,361	0,021
2124,023	0,0213
2127,686	0,0215
2131,348	0,0217
2135,010	0,0214
2138,672	0,0208
2142,334	0,0206
2145,996	0,021
2149,658	0,0215
2153,320	0,0214
2156,982	0,0213
2160,645	0,0218
2164,307	0,0222
2167,969	0,0217
2171,631	0,0209
2175,293	0,0205
2178,955	0,0206
2182,617	0,0209
2186,279	0,0213
2189,941	0,0212
2193,604	0,0207
2197,266	0,0204
2200,928	0,0201
2204,590	0,0201
2208,252	0,0204
2211,914	0,0203
2215,576	0,0197
2219,238	0,0193
2222,900	0,0192
2226,563	0,0196
2230,225	0,0198
2233,887	0,0196
2237,549	0,0194
2241,211	0,0193
2244,873	0,019
2248,535	0,0188
2252,197	0,0188
2255,859	0,0188
2259,521	0,0188
2263,184	0,0187
2266,846	0,0185
2270,508	0,0186
2274,170	0,019
2277,832	0,0193
2281,494	0,0193
2285,156	0,0192
2288,818	0,0191
2292,480	0,0186
2296,143	0,0183
2299,805	0,0185
2303,467	0,0184
2307,129	0,0182
2310,791	0,0182
2314,453	0,0184
2318,115	0,0183
2321,777	0,0183
2325,439	0,0182
2329,102	0,018
2332,764	0,0177
2336,426	0,0176
2340,088	0,0181
2343,750	0,0184
2347,412	0,0182
2351,074	0,018
2354,736	0,0181
2358,398	0,0182
2362,061	0,0183
2365,723	0,0184
2369,385	0,0183
2373,047	0,0182
2376,709	0,0184
2380,371	0,0184
2384,033	0,0179
2387,695	0,0174
2391,357	0,0173
2395,020	0,0177
2398,682	0,0181
2402,344	0,0181
2406,006	0,0177
2409,668	0,0171
2413,330	0,0166
2416,992	0,0165
2420,654	0,0168
2424,316	0,0168
2427,979	0,0168
2431,641	0,0168
2435,303	0,0168
2438,965	0,0168
2442,627	0,0167
2446,289	0,0165
2449,951	0,0164
2453,613	0,0163
2457,275	0,0161
2460,938	0,0159
2464,600	0,0163
2468,262	0,0169
2471,924	0,017
2475,586	0,0166
2479,248	0,0162
2482,910	0,0161
2486,572	0,0162
2490,234	0,0162
2493,896	0,0161
2497,559	0,016
2501,221	0,0158
2504,883	0,0156
2508,545	0,0154
2512,207	0,0153
2515,869	0,0154
2519,531	0,0157
2523,193	0,0158
2526,855	0,0157
2530,518	0,0158
2534,180	0,0158
2537,842	0,0155
2541,504	0,0156
2545,166	0,0159
2548,828	0,0159
2552,490	0,0156
2556,152	0,0154
2559,814	0,0152
2563,477	0,0151
2567,139	0,0149
2570,801	0,0146
2574,463	0,0145
2578,125	0,0146
2581,787	0,0147
2585,449	0,0148
2589,111	0,0147
2592,773	0,0147
2596,436	0,0145
2600,098	0,0144
2603,760	0,0145
2607,422	0,0147
2611,084	0,0148
2614,746	0,0149
2618,408	0,015
2622,070	0,015
2625,732	0,0148
2629,395	0,0147
2633,057	0,0145
2636,719	0,0142
2640,381	0,014
2644,043	0,014
2647,705	0,0139
2651,367	0,0138
2655,029	0,0136
2658,691	0,0135
2662,354	0,0139
2666,016	0,0143
2669,678	0,0145
2673,340	0,0143
2677,002	0,014
2680,664	0,0139
2684,326	0,0139
2687,988	0,0137
2691,650	0,0136
2695,313	0,0136
2698,975	0,0137
2702,637	0,0139
2706,299	0,0139
2709,961	0,0139
2713,623	0,0138
2717,285	0,0138
2720,947	0,0137
2724,609	0,0135
2728,271	0,0135
2731,934	0,0136
2735,596	0,0136
2739,258	0,0134
2742,920	0,0131
2746,582	0,0129
2750,244	0,0131
2753,906	0,0132
2757,568	0,0133
2761,230	0,0135
2764,893	0,0137
2768,555	0,0138
2772,217	0,0135
2775,879	0,0133
2779,541	0,0134
2783,203	0,0134
2786,865	0,0132
2790,527	0,0131
2794,189	0,0132
2797,852	0,0134
2801,514	0,0135
2805,176	0,0132
2808,838	0,0129
2812,500	0,0127
2816,162	0,0128
2819,824	0,0128
2823,486	0,0127
2827,148	0,0129
2830,811	0,013
2834,473	0,013
2838,135	0,0127
2841,797	0,0126
2845,459	0,0125
2849,121	0,0126
2852,783	0,0128
2856,445	0,0127
2860,107	0,0124
2863,770	0,0124
2867,432	0,0125
2871,094	0,0126
2874,756	0,0128
2878,418	0,0129
2882,080	0,0127
2885,742	0,0124
2889,404	0,0121
2893,066	0,0121
2896,729	0,0122
2900,391	0,0122
2904,053	0,0119
2907,715	0,0119
2911,377	0,0121
2915,039	0,0123
2918,701	0,0122
2922,363	0,0122
2926,025	0,0122
2929,688	0,0122
2933,350	0,0118
2937,012	0,0116
2940,674	0,0118
2944,336	0,0119
2947,998	0,012
2951,660	0,0121
2955,322	0,0122
2958,984	0,0123
2962,646	0,0126
2966,309	0,0127
2969,971	0,0122
2973,633	0,012
2977,295	0,0119
2980,957	0,0116
2984,619	0,0116
2988,281	0,0115
2991,943	0,0114
2995,605	0,0116
2999,268	0,0119
3002,930	0,0121
3006,592	0,0121
3010,254	0,012
3013,916	0,0118
3017,578	0,0117
3021,240	0,0115
3024,902	0,0114
3028,564	0,0115
3032,227	0,0117
3035,889	0,0116
3039,551	0,0113
3043,213	0,0112
3046,875	0,0113
3050,537	0,0112
3054,199	0,0112
3057,861	0,0113
3061,523	0,0113
3065,186	0,0112
3068,848	0,0111
3072,510	0,011
3076,172	0,0111
3079,834	0,0111
3083,496	0,0109
3087,158	0,0108
3090,820	0,0111
3094,482	0,0113
3098,145	0,011
3101,807	0,0106
3105,469	0,0105
3109,131	0,0104
3112,793	0,0103
3116,455	0,0103
3120,117	0,0104
3123,779	0,0105
3127,441	0,0107
3131,104	0,0107
3134,766	0,0107
3138,428	0,0108
3142,090	0,0109
3145,752	0,0109
3149,414	0,0107
3153,076	0,0105
3156,738	0,0105
3160,400	0,0107
3164,063	0,0107
3167,725	0,0106
3171,387	0,0108
3175,049	0,0108
3178,711	0,0106
3182,373	0,0104
3186,035	0,0103
3189,697	0,0101
3193,359	0,00997
3197,021	0,0101
3200,684	0,0101
3204,346	0,0101
3208,008	0,0101
3211,670	0,0103
3215,332	0,0104
3218,994	0,0105
3222,656	0,0106
3226,318	0,0105
3229,980	0,0104
3233,643	0,0104
3237,305	0,0104
3240,967	0,0105
3244,629	0,0105
3248,291	0,0104
3251,953	0,0103
3255,615	0,0102
3259,277	0,0102
3262,939	0,0101
3266,602	0,0102
3270,264	0,0103
3273,926	0,0104
3277,588	0,0102
3281,250	0,01
3284,912	0,01
3288,574	0,0101
3292,236	0,01
3295,898	0,00989
3299,561	0,00991
3303,223	0,00987
3306,885	0,00972
3310,547	0,00973
3314,209	0,0098
3317,871	0,00971
3321,533	0,00956
3325,195	0,00969
3328,857	0,00996
3332,520	0,0102
3336,182	0,0102
3339,844	0,00996
3343,506	0,00972
3347,168	0,00966
3350,830	0,00964
3354,492	0,00959
3358,154	0,00956
3361,816	0,00955
3365,479	0,00968
3369,141	0,00989
3372,803	0,00998
3376,465	0,00984
3380,127	0,00957
3383,789	0,00944
3387,451	0,00942
3391,113	0,00941
3394,775	0,00948
3398,438	0,0095
3402,100	0,0094
3405,762	0,00926
3409,424	0,00923
3413,086	0,00923
3416,748	0,00912
3420,410	0,00903
3424,072	0,00905
3427,734	0,00909
3431,396	0,00915
3435,059	0,00927
3438,721	0,00934
3442,383	0,00936
3446,045	0,00943
3449,707	0,0095
3453,369	0,00951
3457,031	0,00952
3460,693	0,00945
3464,355	0,00927
3468,018	0,00898
3471,680	0,0089
3475,342	0,00911
3479,004	0,00921
3482,666	0,00903
3486,328	0,00885
3489,990	0,00888
3493,652	0,00898
3497,314	0,00914
3500,977	0,00933
3504,639	0,00928
3508,301	0,00906
3511,963	0,00904
3515,625	0,00904
3519,287	0,00882
3522,949	0,00859
3526,611	0,0084
3530,273	0,0082
3533,936	0,00823
3537,598	0,00848
3541,260	0,00862
3544,922	0,00873
3548,584	0,00884
3552,246	0,00882
3555,908	0,00869
3559,570	0,00856
3563,232	0,00854
3566,895	0,00854
3570,557	0,00842
3574,219	0,00832
3577,881	0,00849
3581,543	0,00876
3585,205	0,00884
3588,867	0,00876
3592,529	0,00864
3596,191	0,00849
3599,854	0,00835
3603,516	0,00823
3607,178	0,0082
3610,840	0,00828
3614,502	0,0084
3618,164	0,00851
3621,826	0,00859
3625,488	0,00857
3629,150	0,00853
3632,813	0,00848
3636,475	0,00825
3640,137	0,00821
3643,799	0,00849
3647,461	0,00853
3651,123	0,00823
3654,785	0,00795
3658,447	0,00786
3662,109	0,00786
3665,771	0,00782
3669,434	0,00778
3673,096	0,00797
3676,758	0,00819
