Frequency [Hz]	S(f)
0,000	0,214
3,662	0,526
7,324	0,551
10,986	0,408
14,648	0,306
18,311	0,259
21,973	0,236
25,635	0,219
29,297	0,201
32,959	0,187
36,621	0,18
40,283	0,172
43,945	0,164
47,607	0,163
51,270	0,165
54,932	0,164
58,594	0,16
62,256	0,155
65,918	0,151
69,580	0,151
73,242	0,152
76,904	0,149
80,566	0,147
84,229	0,149
87,891	0,151
91,553	0,15
95,215	0,146
98,877	0,143
102,539	0,143
106,201	0,149
109,863	0,153
113,525	0,15
117,188	0,145
120,850	0,143
124,512	0,144
128,174	0,144
131,836	0,144
135,498	0,147
139,160	0,147
142,822	0,147
146,484	0,15
150,146	0,153
153,809	0,152
157,471	0,15
161,133	0,149
164,795	0,151
168,457	0,152
172,119	0,151
175,781	0,149
179,443	0,151
183,105	0,152
186,768	0,151
190,430	0,148
194,092	0,147
197,754	0,149
201,416	0,149
205,078	0,148
208,740	0,149
212,402	0,15
216,064	0,15
219,727	0,148
223,389	0,146
227,051	0,145
230,713	0,145
234,375	0,144
238,037	0,143
241,699	0,143
245,361	0,144
249,023	0,142
252,686	0,139
256,348	0,138
260,010	0,139
263,672	0,141
267,334	0,14
270,996	0,136
274,658	0,134
278,320	0,136
281,982	0,139
285,645	0,138
289,307	0,137
292,969	0,14
296,631	0,139
300,293	0,134
303,955	0,129
307,617	0,128
311,279	0,127
314,941	0,127
318,604	0,126
322,266	0,123
325,928	0,122
329,590	0,124
333,252	0,123
336,914	0,122
340,576	0,12
344,238	0,12
347,900	0,121
351,563	0,12
355,225	0,117
358,887	0,114
362,549	0,111
366,211	0,109
369,873	0,11
373,535	0,112
377,197	0,114
380,859	0,114
384,521	0,111
388,184	0,111
391,846	0,112
395,508	0,111
399,170	0,11
402,832	0,108
406,494	0,107
410,156	0,107
413,818	0,11
417,480	0,11
421,143	0,106
424,805	0,103
428,467	0,103
432,129	0,105
435,791	0,104
439,453	0,102
443,115	0,101
446,777	0,101
450,439	0,1
454,102	0,0974
457,764	0,0955
461,426	0,0949
465,088	0,0958
468,750	0,0951
472,412	0,092
476,074	0,0904
479,736	0,0901
483,398	0,088
487,061	0,0863
490,723	0,0865
494,385	0,0877
498,047	0,0899
501,709	0,0915
505,371	0,0915
509,033	0,0913
512,695	0,0902
516,357	0,0881
520,020	0,0872
523,682	0,0885
527,344	0,0892
531,006	0,0876
534,668	0,0857
538,330	0,0857
541,992	0,086
545,654	0,0846
549,316	0,0817
552,979	0,0786
556,641	0,077
560,303	0,0775
563,965	0,0786
567,627	0,0779
571,289	0,076
574,951	0,0755
578,613	0,0771
582,275	0,0779
585,938	0,0758
589,600	0,0735
593,262	0,0721
596,924	0,0721
600,586	0,0734
604,248	0,0734
607,910	0,0728
611,572	0,0731
615,234	0,0728
618,896	0,0709
622,559	0,0689
626,221	0,0682
629,883	0,0694
633,545	0,0708
637,207	0,0707
640,869	0,0691
644,531	0,0673
648,193	0,0665
651,855	0,0668
655,518	0,0672
659,180	0,0675
662,842	0,0671
666,504	0,0653
670,166	0,0639
673,828	0,064
677,490	0,0645
