Frequency [Hz]	S(f)
0,000	0,181
3,662	0,451
7,324	0,511
10,986	0,441
14,648	0,38
18,311	0,345
21,973	0,311
25,635	0,278
29,297	0,25
32,959	0,237
36,621	0,234
40,283	0,227
43,945	0,22
47,607	0,213
51,270	0,208
54,932	0,211
58,594	0,216
62,256	0,215
65,918	0,21
69,580	0,209
73,242	0,209
76,904	0,204
80,566	0,197
84,229	0,191
87,891	0,191
91,553	0,195
95,215	0,197
98,877	0,196
102,539	0,195
106,201	0,193
109,863	0,188
113,525	0,188
117,188	0,192
120,850	0,19
124,512	0,183
128,174	0,179
131,836	0,179
135,498	0,181
139,160	0,18
142,822	0,175
146,484	0,17
150,146	0,169
153,809	0,165
157,471	0,157
161,133	0,153
164,795	0,156
168,457	0,156
172,119	0,152
175,781	0,148
179,443	0,145
183,105	0,146
186,768	0,146
190,430	0,144
194,092	0,142
197,754	0,139
201,416	0,136
205,078	0,131
208,740	0,128
212,402	0,127
216,064	0,13
219,727	0,13
223,389	0,124
227,051	0,119
230,713	0,116
234,375	0,114
238,037	0,115
241,699	0,115
245,361	0,112
249,023	0,109
252,686	0,106
256,348	0,104
260,010	0,102
263,672	0,101
267,334	0,102
270,996	0,101
274,658	0,098
278,320	0,0952
281,982	0,0934
285,645	0,0928
289,307	0,0927
292,969	0,0911
296,631	0,088
300,293	0,0865
303,955	0,0875
307,617	0,088
311,279	0,0862
314,941	0,0836
318,604	0,0816
322,266	0,0804
325,928	0,0808
329,590	0,0823
333,252	0,0817
336,914	0,0799
340,576	0,0791
344,238	0,0777
347,900	0,0745
351,563	0,071
355,225	0,0693
358,887	0,0696
362,549	0,0685
366,211	0,066
369,873	0,0642
373,535	0,0635
377,197	0,0634
380,859	0,0643
384,521	0,0641
388,184	0,0617
391,846	0,0597
395,508	0,0594
399,170	0,0597
402,832	0,0598
406,494	0,0606
410,156	0,0606
413,818	0,0581
417,480	0,055
421,143	0,0535
424,805	0,0526
428,467	0,0523
432,129	0,053
435,791	0,0533
439,453	0,0534
443,115	0,0537
446,777	0,0535
450,439	0,0525
454,102	0,0513
457,764	0,0507
461,426	0,0502
465,088	0,0492
468,750	0,0485
472,412	0,0484
476,074	0,0475
479,736	0,0459
483,398	0,0452
487,061	0,0447
490,723	0,044
494,385	0,0439
498,047	0,0444
501,709	0,0442
505,371	0,0435
509,033	0,0436
512,695	0,0436
516,357	0,043
520,020	0,0415
523,682	0,0399
527,344	0,0392
531,006	0,0397
534,668	0,0402
538,330	0,0404
541,992	0,0402
545,654	0,0396
549,316	0,0393
552,979	0,0387
556,641	0,0373
560,303	0,0362
563,965	0,0363
567,627	0,0369
571,289	0,0365
574,951	0,0359
578,613	0,0362
582,275	0,0362
585,938	0,0351
589,600	0,0338
593,262	0,0327
596,924	0,033
600,586	0,0341
604,248	0,0345
607,910	0,0343
611,572	0,034
615,234	0,0339
618,896	0,0339
622,559	0,0336
626,221	0,0328
629,883	0,0323
633,545	0,032
637,207	0,0308
640,869	0,0295
644,531	0,0293
648,193	0,0298
651,855	0,0301
655,518	0,0301
659,180	0,0299
662,842	0,0299
666,504	0,03
670,166	0,0298
673,828	0,0298
677,490	0,03
681,152	0,0299
684,814	0,0291
688,477	0,0285
692,139	0,0279
695,801	0,0271
699,463	0,0265
703,125	0,0264
706,787	0,0266
710,449	0,0268
714,111	0,0266
717,773	0,0263
721,436	0,0261
725,098	0,026
728,760	0,0255
732,422	0,0248
736,084	0,0246
739,746	0,0246
743,408	0,0245
747,070	0,0244
750,732	0,0245
754,395	0,0243
758,057	0,0238
761,719	0,024
765,381	0,025
769,043	0,025
772,705	0,024
776,367	0,0233
780,029	0,0233
783,691	0,023
787,354	0,0224
