Frequency [Hz]	S(f)
0,000	0,316
3,662	0,776
7,324	0,791
10,986	0,536
14,648	0,361
18,311	0,284
21,973	0,236
25,635	0,204
29,297	0,181
32,959	0,16
36,621	0,148
40,283	0,143
43,945	0,136
47,607	0,124
51,270	0,116
54,932	0,113
58,594	0,112
62,256	0,114
65,918	0,116
69,580	0,115
73,242	0,113
76,904	0,112
80,566	0,112
84,229	0,11
87,891	0,108
91,553	0,106
95,215	0,106
98,877	0,105
102,539	0,103
106,201	0,104
109,863	0,105
113,525	0,104
117,188	0,101
120,850	0,0993
124,512	0,0983
128,174	0,0975
131,836	0,0965
135,498	0,0972
139,160	0,0995
142,822	0,101
146,484	0,102
150,146	0,103
153,809	0,102
157,471	0,102
161,133	0,103
164,795	0,103
168,457	0,101
172,119	0,0998
175,781	0,1
179,443	0,101
183,105	0,101
186,768	0,0997
190,430	0,1
194,092	0,0998
197,754	0,0979
201,416	0,0969
205,078	0,0967
208,740	0,0967
212,402	0,0974
216,064	0,0985
219,727	0,1
223,389	0,102
227,051	0,102
230,713	0,102
234,375	0,101
238,037	0,101
241,699	0,102
245,361	0,103
249,023	0,103
252,686	0,104
256,348	0,106
260,010	0,107
263,672	0,107
267,334	0,107
270,996	0,105
274,658	0,103
278,320	0,104
281,982	0,103
285,645	0,0992
289,307	0,0956
292,969	0,0953
296,631	0,0977
300,293	0,1
303,955	0,101
307,617	0,101
311,279	0,103
314,941	0,105
318,604	0,105
322,266	0,105
325,928	0,106
329,590	0,108
333,252	0,107
336,914	0,103
340,576	0,1
344,238	0,0996
347,900	0,103
351,563	0,104
355,225	0,103
358,887	0,101
362,549	0,0983
366,211	0,0984
369,873	0,103
373,535	0,109
377,197	0,111
380,859	0,11
384,521	0,109
388,184	0,108
391,846	0,106
395,508	0,105
399,170	0,106
402,832	0,108
406,494	0,108
410,156	0,105
413,818	0,105
417,480	0,106
421,143	0,107
424,805	0,106
428,467	0,108
432,129	0,108
435,791	0,105
439,453	0,104
443,115	0,104
446,777	0,103
450,439	0,101
454,102	0,0993
457,764	0,0994
461,426	0,1
465,088	0,101
468,750	0,0988
472,412	0,0962
476,074	0,0957
479,736	0,0981
483,398	0,1
487,061	0,0999
490,723	0,099
494,385	0,0992
498,047	0,0998
501,709	0,0997
505,371	0,0989
509,033	0,0978
512,695	0,0978
516,357	0,0987
520,020	0,0998
523,682	0,101
527,344	0,0997
531,006	0,0967
534,668	0,094
538,330	0,0928
541,992	0,0933
545,654	0,095
549,316	0,0964
552,979	0,0958
556,641	0,0951
560,303	0,0944
563,965	0,0935
