Frequency [Hz]	S(f)
0,000	0,247
3,662	0,623
7,324	0,661
10,986	0,473
14,648	0,333
18,311	0,272
21,973	0,242
25,635	0,219
29,297	0,197
32,959	0,178
36,621	0,167
40,283	0,163
43,945	0,157
47,607	0,152
51,270	0,15
54,932	0,149
58,594	0,149
62,256	0,145
65,918	0,14
69,580	0,139
73,242	0,14
76,904	0,139
80,566	0,141
84,229	0,144
87,891	0,145
91,553	0,144
95,215	0,141
98,877	0,139
102,539	0,138
106,201	0,138
109,863	0,138
113,525	0,136
117,188	0,134
120,850	0,134
124,512	0,135
128,174	0,134
131,836	0,134
135,498	0,135
139,160	0,135
142,822	0,136
146,484	0,138
150,146	0,139
153,809	0,139
157,471	0,137
161,133	0,139
164,795	0,141
168,457	0,142
172,119	0,142
175,781	0,143
179,443	0,145
183,105	0,145
186,768	0,141
190,430	0,139
194,092	0,139
197,754	0,137
201,416	0,135
205,078	0,134
208,740	0,134
212,402	0,134
216,064	0,131
219,727	0,129
223,389	0,131
227,051	0,133
230,713	0,133
234,375	0,134
238,037	0,137
241,699	0,14
245,361	0,142
249,023	0,141
252,686	0,138
256,348	0,135
260,010	0,136
263,672	0,137
267,334	0,139
270,996	0,14
274,658	0,138
278,320	0,133
281,982	0,13
285,645	0,132
289,307	0,135
292,969	0,136
296,631	0,134
300,293	0,131
303,955	0,13
307,617	0,127
311,279	0,125
314,941	0,127
318,604	0,129
322,266	0,128
325,928	0,126
329,590	0,124
333,252	0,12
336,914	0,121
340,576	0,124
344,238	0,125
347,900	0,126
351,563	0,126
355,225	0,125
358,887	0,124
362,549	0,123
366,211	0,123
369,873	0,122
373,535	0,122
377,197	0,12
380,859	0,116
384,521	0,114
388,184	0,113
391,846	0,114
395,508	0,114
399,170	0,113
402,832	0,111
406,494	0,11
410,156	0,11
413,818	0,113
417,480	0,117
421,143	0,116
424,805	0,112
428,467	0,11
432,129	0,111
435,791	0,113
439,453	0,113
443,115	0,109
446,777	0,105
450,439	0,106
454,102	0,109
457,764	0,11
461,426	0,108
465,088	0,104
468,750	0,101
472,412	0,102
476,074	0,103
479,736	0,103
483,398	0,104
487,061	0,105
490,723	0,103
494,385	0,101
498,047	0,0999
501,709	0,0997
505,371	0,0999
509,033	0,1
512,695	0,0987
516,357	0,096
520,020	0,0929
523,682	0,0903
527,344	0,0893
531,006	0,0891
534,668	0,0887
538,330	0,0902
541,992	0,0926
545,654	0,0926
549,316	0,0921
552,979	0,0944
556,641	0,097
560,303	0,0965
563,965	0,0938
567,627	0,0918
571,289	0,0912
574,951	0,0909
578,613	0,0909
582,275	0,0915
585,938	0,0904
589,600	0,0883
593,262	0,0866
596,924	0,0861
600,586	0,0863
604,248	0,0855
607,910	0,0833
611,572	0,0813
615,234	0,0807
618,896	0,081
622,559	0,0806
626,221	0,0793
629,883	0,0791
633,545	0,0802
637,207	0,0802
640,869	0,0783
644,531	0,0762
648,193	0,0762
651,855	0,0774
655,518	0,0778
659,180	0,0771
662,842	0,0761
666,504	0,0764
670,166	0,078
673,828	0,0784
677,490	0,0759
681,152	0,0732
684,814	0,0722
688,477	0,0721
692,139	0,0734
695,801	0,0758
699,463	0,0762
703,125	0,0744
706,787	0,073
710,449	0,0722
714,111	0,072
717,773	0,0723
721,436	0,0719
725,098	0,0703
728,760	0,0683
732,422	0,0671
736,084	0,0672
739,746	0,0672
743,408	0,0657
747,070	0,0651
750,732	0,0667
754,395	0,0679
758,057	0,0665
761,719	0,0646
765,381	0,0635
769,043	0,0628
772,705	0,0629
776,367	0,0645
780,029	0,0662
783,691	0,0663
787,354	0,0656
791,016	0,0646
794,678	0,063
798,340	0,0617
802,002	0,062
