Frequency [Hz]	S(f)
0,000	0,0393
3,662	0,0925
7,324	0,092
10,986	0,0671
14,648	0,0517
18,311	0,0431
21,973	0,0369
25,635	0,0341
29,297	0,0333
32,959	0,0328
36,621	0,0318
40,283	0,0304
43,945	0,0294
47,607	0,029
51,270	0,0288
54,932	0,0284
58,594	0,0277
62,256	0,0273
65,918	0,0273
69,580	0,0272
73,242	0,0267
76,904	0,0262
80,566	0,0261
84,229	0,0267
87,891	0,0273
91,553	0,0274
95,215	0,0268
98,877	0,0258
102,539	0,0253
106,201	0,0253
109,863	0,0256
113,525	0,0259
117,188	0,0257
120,850	0,0254
124,512	0,0253
128,174	0,0252
131,836	0,025
135,498	0,0252
139,160	0,0252
142,822	0,0246
146,484	0,0244
150,146	0,0248
153,809	0,0252
157,471	0,0253
161,133	0,0249
164,795	0,0244
168,457	0,0238
172,119	0,0233
175,781	0,0233
179,443	0,0235
183,105	0,0231
186,768	0,0226
190,430	0,0228
194,092	0,024
197,754	0,025
201,416	0,0251
205,078	0,0248
208,740	0,0242
212,402	0,024
216,064	0,0244
219,727	0,0248
223,389	0,0246
227,051	0,0245
230,713	0,0245
234,375	0,0238
238,037	0,0235
241,699	0,0239
245,361	0,0243
249,023	0,0242
252,686	0,0241
256,348	0,0246
260,010	0,0252
263,672	0,0256
267,334	0,0256
270,996	0,0254
274,658	0,0253
278,320	0,0251
281,982	0,0247
285,645	0,0242
289,307	0,0242
292,969	0,0245
296,631	0,0248
300,293	0,025
303,955	0,0243
307,617	0,0235
311,279	0,0235
314,941	0,0239
318,604	0,0238
322,266	0,0238
325,928	0,0244
329,590	0,025
333,252	0,0252
336,914	0,025
340,576	0,0248
344,238	0,0245
347,900	0,024
351,563	0,0235
355,225	0,0233
358,887	0,0237
362,549	0,0241
366,211	0,0241
369,873	0,0239
373,535	0,0243
377,197	0,025
380,859	0,0255
384,521	0,0258
388,184	0,0259
391,846	0,0256
395,508	0,0255
399,170	0,0256
402,832	0,0255
406,494	0,0255
410,156	0,0254
413,818	0,0249
417,480	0,0245
421,143	0,0243
424,805	0,0241
428,467	0,0236
432,129	0,0232
435,791	0,0234
439,453	0,0245
443,115	0,0252
446,777	0,0248
450,439	0,0243
454,102	0,0245
457,764	0,0247
461,426	0,0246
465,088	0,0244
