Frequency [Hz]	S(f)
0,000	0,108
3,662	0,264
7,324	0,285
10,986	0,233
14,648	0,19
18,311	0,161
21,973	0,144
25,635	0,135
29,297	0,131
32,959	0,13
36,621	0,129
40,283	0,128
43,945	0,127
47,607	0,126
51,270	0,125
54,932	0,122
58,594	0,121
62,256	0,12
65,918	0,119
69,580	0,118
73,242	0,117
76,904	0,118
80,566	0,119
84,229	0,12
87,891	0,123
91,553	0,125
95,215	0,123
98,877	0,12
102,539	0,118
106,201	0,118
109,863	0,121
113,525	0,123
117,188	0,122
120,850	0,12
124,512	0,118
128,174	0,117
131,836	0,117
135,498	0,118
139,160	0,117
142,822	0,115
146,484	0,114
150,146	0,115
153,809	0,116
157,471	0,116
161,133	0,116
164,795	0,116
168,457	0,115
172,119	0,11
175,781	0,106
179,443	0,107
183,105	0,108
186,768	0,106
190,430	0,104
194,092	0,102
197,754	0,101
201,416	0,1
205,078	0,1
208,740	0,101
212,402	0,101
216,064	0,0992
219,727	0,0961
223,389	0,093
227,051	0,0908
230,713	0,0891
234,375	0,0867
238,037	0,0855
241,699	0,0864
245,361	0,0869
249,023	0,0875
252,686	0,088
256,348	0,0857
260,010	0,0824
263,672	0,0814
267,334	0,0815
270,996	0,0806
274,658	0,0784
278,320	0,076
281,982	0,0756
285,645	0,0765
289,307	0,0761
292,969	0,0756
296,631	0,0766
300,293	0,0769
303,955	0,0753
307,617	0,0726
311,279	0,07
314,941	0,069
318,604	0,0701
322,266	0,0705
325,928	0,0681
329,590	0,0656
333,252	0,0651
336,914	0,0656
340,576	0,0659
344,238	0,0658
347,900	0,0649
351,563	0,0637
355,225	0,063
358,887	0,0625
362,549	0,0626
366,211	0,063
369,873	0,062
373,535	0,0599
377,197	0,0592
380,859	0,0595
384,521	0,0589
388,184	0,0571
391,846	0,0556
395,508	0,0552
399,170	0,0551
402,832	0,0546
406,494	0,0546
410,156	0,0545
413,818	0,0541
417,480	0,0543
421,143	0,0543
424,805	0,053
428,467	0,0514
432,129	0,0506
435,791	0,0501
439,453	0,0497
443,115	0,0503
446,777	0,0506
450,439	0,0502
454,102	0,0501
457,764	0,05
461,426	0,049
465,088	0,0472
468,750	0,0456
472,412	0,0448
476,074	0,045
479,736	0,0453
483,398	0,0448
487,061	0,0438
490,723	0,0432
494,385	0,0431
498,047	0,0427
501,709	0,042
505,371	0,0413
509,033	0,0408
512,695	0,0402
516,357	0,0403
520,020	0,0405
523,682	0,0405
527,344	0,0404
531,006	0,04
534,668	0,0394
538,330	0,0394
541,992	0,04
545,654	0,0397
549,316	0,0391
552,979	0,039
556,641	0,0387
560,303	0,0379
563,965	0,0371
567,627	0,0364
571,289	0,036
574,951	0,0357
578,613	0,0355
582,275	0,0353
585,938	0,0347
589,600	0,0345
593,262	0,0347
596,924	0,0341
600,586	0,0331
604,248	0,0326
607,910	0,0324
611,572	0,032
615,234	0,0314
618,896	0,0314
622,559	0,0317
626,221	0,0313
629,883	0,031
633,545	0,0309
637,207	0,0309
640,869	0,0307
644,531	0,0305
648,193	0,0302
651,855	0,0299
655,518	0,0297
659,180	0,0289
662,842	0,028
666,504	0,0277
670,166	0,0281
673,828	0,0286
677,490	0,0286
681,152	0,0278
684,814	0,0275
688,477	0,0279
692,139	0,0275
695,801	0,0265
699,463	0,0261
703,125	0,0264
706,787	0,0268
710,449	0,027
714,111	0,027
717,773	0,0268
721,436	0,0265
725,098	0,026
728,760	0,0252
732,422	0,025
736,084	0,0252
739,746	0,0251
743,408	0,0252
747,070	0,0252
750,732	0,0246
754,395	0,0243
758,057	0,0246
761,719	0,0243
765,381	0,0235
769,043	0,0231
772,705	0,0234
776,367	0,0235
780,029	0,0233
783,691	0,0228
787,354	0,0224
791,016	0,0225
794,678	0,0228
798,340	0,0227
802,002	0,0225
805,664	0,0224
809,326	0,0223
812,988	0,022
816,650	0,0213
820,313	0,0206
