Frequency [Hz]	S(f)
0,000	0,00786
3,662	0,0198
7,324	0,022
10,986	0,0181
14,648	0,015
18,311	0,0135
21,973	0,0128
25,635	0,0125
29,297	0,0121
32,959	0,0117
36,621	0,0114
40,283	0,0112
43,945	0,011
47,607	0,0108
51,270	0,0104
54,932	0,0102
58,594	0,0103
62,256	0,0105
65,918	0,0106
69,580	0,0103
73,242	0,0101
76,904	0,0102
80,566	0,0104
84,229	0,0102
87,891	0,00998
91,553	0,00984
95,215	0,0098
98,877	0,00978
102,539	0,0097
106,201	0,00971
109,863	0,00977
113,525	0,00965
117,188	0,00947
120,850	0,00949
124,512	0,00947
128,174	0,00928
131,836	0,0092
135,498	0,00932
139,160	0,00946
142,822	0,0095
146,484	0,00944
150,146	0,00932
153,809	0,00922
157,471	0,00922
161,133	0,00927
164,795	0,0092
168,457	0,00905
172,119	0,00895
175,781	0,00883
179,443	0,00872
183,105	0,00875
186,768	0,00884
190,430	0,00881
194,092	0,00879
197,754	0,00892
201,416	0,00913
205,078	0,00931
208,740	0,00926
212,402	0,0091
216,064	0,009
219,727	0,00888
223,389	0,00876
227,051	0,00874
230,713	0,00866
234,375	0,00858
238,037	0,00857
241,699	0,00858
245,361	0,00858
249,023	0,00854
252,686	0,00863
256,348	0,00894
260,010	0,00917
263,672	0,00912
267,334	0,0089
270,996	0,00877
274,658	0,00875
278,320	0,00882
281,982	0,00894
285,645	0,00894
289,307	0,00878
292,969	0,00862
296,631	0,00857
300,293	0,00853
303,955	0,00845
307,617	0,00846
311,279	0,00855
314,941	0,00857
318,604	0,00859
322,266	0,00858
325,928	0,00842
329,590	0,00834
333,252	0,00859
336,914	0,00891
340,576	0,00894
344,238	0,00871
347,900	0,00848
351,563	0,00841
355,225	0,00851
358,887	0,00876
362,549	0,00907
366,211	0,00928
369,873	0,0093
373,535	0,00917
377,197	0,00903
380,859	0,00886
384,521	0,00875
388,184	0,00878
391,846	0,00881
395,508	0,0087
399,170	0,0086
402,832	0,0086
406,494	0,00853
410,156	0,00832
413,818	0,00818
417,480	0,00831
421,143	0,00849
424,805	0,00847
428,467	0,00838
432,129	0,00844
435,791	0,00862
439,453	0,00886
443,115	0,00896
446,777	0,0088
450,439	0,00861
454,102	0,00852
457,764	0,00849
461,426	0,00846
465,088	0,00839
468,750	0,00842
472,412	0,00862
476,074	0,00862
479,736	0,00838
483,398	0,00833
487,061	0,00853
490,723	0,00856
494,385	0,0084
498,047	0,00847
501,709	0,00876
505,371	0,00896
509,033	0,009
512,695	0,00901
516,357	0,00899
520,020	0,0089
523,682	0,0088
527,344	0,00863
531,006	0,00845
534,668	0,0085
538,330	0,00872
541,992	0,00886
545,654	0,00893
549,316	0,00898
552,979	0,00896
556,641	0,00886
560,303	0,00884
563,965	0,00893
567,627	0,00911
571,289	0,00921
574,951	0,00918
578,613	0,00923
582,275	0,00933
585,938	0,00927
589,600	0,00899
593,262	0,00885
596,924	0,00892
600,586	0,00891
604,248	0,00896
607,910	0,00908
611,572	0,00901
615,234	0,00892
618,896	0,00903
622,559	0,00915
626,221	0,00936
629,883	0,00978
633,545	0,00998
637,207	0,00975
640,869	0,00944
644,531	0,00939
648,193	0,00957
651,855	0,00969
655,518	0,00958
659,180	0,00947
662,842	0,00949
666,504	0,00938
670,166	0,00913
673,828	0,00894
677,490	0,00896
681,152	0,00915
684,814	0,00939
688,477	0,00953
692,139	0,00948
695,801	0,00935
699,463	0,0093
703,125	0,00935
706,787	0,00947
710,449	0,00959
714,111	0,00968
717,773	0,00963
721,436	0,00955
725,098	0,00958
728,760	0,00965
732,422	0,00957
736,084	0,00948
739,746	0,00959
743,408	0,0098
747,070	0,00988
750,732	0,00981
754,395	0,00977
758,057	0,00986
761,719	0,00996
765,381	0,01
769,043	0,0101
772,705	0,0101
776,367	0,00987
780,029	0,00968
783,691	0,00951
787,354	0,00949
791,016	0,00959
794,678	0,00963
798,340	0,00966
802,002	0,00978
805,664	0,01
809,326	0,0102
812,988	0,00999
816,650	0,00993
820,313	0,01
823,975	0,0101
827,637	0,0102
831,299	0,0102
834,961	0,0102
838,623	0,0105
842,285	0,0108
845,947	0,0107
849,609	0,0106
853,271	0,0105
856,934	0,0104
860,596	0,0103
864,258	0,0103
867,920	0,0103
871,582	0,0104
875,244	0,0105
878,906	0,0106
882,568	0,0106
886,230	0,0104
889,893	0,0102
893,555	0,0102
897,217	0,0104
900,879	0,0102
904,541	0,00977
908,203	0,00971
911,865	0,0102
915,527	0,0107
919,189	0,0107
922,852	0,0106
926,514	0,0104
930,176	0,0104
933,838	0,0105
937,500	0,0105
941,162	0,0103
944,824	0,00993
948,486	0,00984
952,148	0,0101
955,811	0,0104
959,473	0,0104
963,135	0,0103
966,797	0,0102
970,459	0,0102
974,121	0,0101
977,783	0,0101
981,445	0,0102
985,107	0,0103
988,770	0,0104
992,432	0,0103
996,094	0,0102
999,756	0,0101
1003,418	0,0102
1007,080	0,0104
1010,742	0,0104
1014,404	0,0104
1018,066	0,0105
1021,729	0,0107
1025,391	0,0109
1029,053	0,0109
1032,715	0,0109
1036,377	0,0113
1040,039	0,0115
1043,701	0,0113
1047,363	0,0107
1051,025	0,0105
1054,688	0,0105
1058,350	0,0105
1062,012	0,0103
1065,674	0,0103
1069,336	0,0105
1072,998	0,0107
1076,660	0,0107
1080,322	0,0107
1083,984	0,0106
1087,646	0,0105
1091,309	0,0103
1094,971	0,0101
1098,633	0,0102
1102,295	0,0103
1105,957	0,0104
1109,619	0,0105
1113,281	0,0106
1116,943	0,0106
1120,605	0,0107
1124,268	0,0107
1127,930	0,0106
1131,592	0,0106
1135,254	0,0105
1138,916	0,0104
1142,578	0,0103
1146,240	0,0104
1149,902	0,0105
1153,564	0,0105
1157,227	0,0106
1160,889	0,0108
1164,551	0,0108
1168,213	0,0108
1171,875	0,0106
1175,537	0,0103
1179,199	0,0101
1182,861	0,0102
1186,523	0,0104
1190,186	0,0105
1193,848	0,0105
1197,510	0,0105
1201,172	0,0104
1204,834	0,0102
1208,496	0,00996
1212,158	0,00994
1215,820	0,0102
1219,482	0,0103
1223,145	0,0102
1226,807	0,0101
1230,469	0,0101
1234,131	0,0102
1237,793	0,01
1241,455	0,00993
1245,117	0,01
1248,779	0,0101
1252,441	0,0101
1256,104	0,0102
1259,766	0,0101
1263,428	0,00995
1267,090	0,00997
1270,752	0,0101
1274,414	0,0101
1278,076	0,0102
1281,738	0,0102
1285,400	0,0101
1289,063	0,00985
1292,725	0,00979
1296,387	0,00978
1300,049	0,00966
1303,711	0,00958
1307,373	0,00968
1311,035	0,00975
1314,697	0,00968
1318,359	0,00966
1322,021	0,00969
1325,684	0,00963
1329,346	0,00968
1333,008	0,00998
1336,670	0,0102
1340,332	0,00989
1343,994	0,00946
1347,656	0,00938
1351,318	0,00958
1354,980	0,00981
1358,643	0,00995
1362,305	0,00984
1365,967	0,00953
1369,629	0,00943
1373,291	0,00937
1376,953	0,00906
1380,615	0,00886
1384,277	0,00899
1387,939	0,00905
1391,602	0,00892
1395,264	0,00886
1398,926	0,00887
1402,588	0,00889
1406,250	0,00899
1409,912	0,00912
1413,574	0,0091
1417,236	0,00899
1420,898	0,00908
1424,561	0,00931
1428,223	0,00938
1431,885	0,0093
1435,547	0,00911
1439,209	0,00883
1442,871	0,00873
1446,533	0,00881
1450,195	0,00886
1453,857	0,00881
1457,520	0,00866
1461,182	0,00848
1464,844	0,00828
1468,506	0,00815
1472,168	0,0083
1475,830	0,00845
1479,492	0,00841
1483,154	0,00837
1486,816	0,00846
1490,479	0,00857
1494,141	0,0086
1497,803	0,00851
1501,465	0,00854
1505,127	0,00875
1508,789	0,00881
1512,451	0,00867
1516,113	0,00846
1519,775	0,00828
1523,438	0,0082
1527,100	0,00822
1530,762	0,0082
1534,424	0,00815
1538,086	0,00819
1541,748	0,00834
1545,410	0,00853
1549,072	0,00864
1552,734	0,00855
1556,396	0,00831
1560,059	0,00813
1563,721	0,00813
1567,383	0,00816
1571,045	0,00815
1574,707	0,00815
1578,369	0,00809
1582,031	0,00806
1585,693	0,00817
1589,355	0,00829
1593,018	0,00835
1596,680	0,00827
1600,342	0,00805
1604,004	0,00802
1607,666	0,00819
1611,328	0,00823
1614,990	0,00804
1618,652	0,00781
1622,314	0,00768
1625,977	0,00763
1629,639	0,00768
1633,301	0,00772
1636,963	0,0075
1640,625	0,00728
1644,287	0,00735
1647,949	0,00744
1651,611	0,00734
1655,273	0,00726
1658,936	0,00734
1662,598	0,00743
1666,260	0,00727
1669,922	0,00693
1673,584	0,00672
1677,246	0,00681
1680,908	0,00701
1684,570	0,00706
1688,232	0,00706
1691,895	0,00709
1695,557	0,00708
1699,219	0,007
1702,881	0,00691
1706,543	0,00688
1710,205	0,00702
1713,867	0,00718
1717,529	0,00711
1721,191	0,00694
1724,854	0,00688
1728,516	0,00684
1732,178	0,00678
1735,840	0,00666
1739,502	0,00663
1743,164	0,00681
1746,826	0,007
1750,488	0,007
1754,150	0,00691
1757,813	0,00689
1761,475	0,00682
1765,137	0,00662
1768,799	0,00647
1772,461	0,00651
1776,123	0,00658
1779,785	0,00652
1783,447	0,0065
1787,109	0,00652
1790,771	0,00642
1794,434	0,00624
1798,096	0,00611
1801,758	0,00617
1805,420	0,00639
1809,082	0,00651
1812,744	0,00635
1816,406	0,00608
1820,068	0,00585
1823,730	0,00583
1827,393	0,006
1831,055	0,00602
1834,717	0,00588
1838,379	0,00587
1842,041	0,00601
1845,703	0,00608
1849,365	0,006
1853,027	0,00603
1856,689	0,0062
1860,352	0,00634
1864,014	0,00642
1867,676	0,00645
1871,338	0,00635
1875,000	0,00609
1878,662	0,00581
1882,324	0,00576
1885,986	0,00582
1889,648	0,00578
1893,311	0,00576
1896,973	0,00577
1900,635	0,00572
1904,297	0,00567
1907,959	0,00566
1911,621	0,00572
1915,283	0,00575
1918,945	0,00569
1922,607	0,00563
1926,270	0,00566
1929,932	0,00563
1933,594	0,00547
1937,256	0,00539
1940,918	0,00542
1944,580	0,00542
1948,242	0,00542
1951,904	0,00544
1955,566	0,0054
1959,229	0,0053
1962,891	0,00523
1966,553	0,00523
1970,215	0,00528
1973,877	0,00531
1977,539	0,00533
1981,201	0,00536
1984,863	0,00536
1988,525	0,00532
1992,188	0,00525
1995,850	0,00521
1999,512	0,0052
2003,174	0,00519
2006,836	0,00516
2010,498	0,00518
2014,160	0,00524
2017,822	0,00518
2021,484	0,00506
2025,146	0,00509
2028,809	0,00518
2032,471	0,00515
2036,133	0,00505
2039,795	0,00497
2043,457	0,00491
2047,119	0,00492
2050,781	0,00495
2054,443	0,00496
2058,105	0,00499
2061,768	0,00501
2065,430	0,00492
2069,092	0,00478
2072,754	0,00476
2076,416	0,00489
2080,078	0,00501
2083,740	0,00496
2087,402	0,00482
2091,064	0,00476
2094,727	0,00478
2098,389	0,00479
2102,051	0,00479
2105,713	0,00476
2109,375	0,00473
2113,037	0,00476
2116,699	0,00474
2120,361	0,00472
2124,023	0,00485
2127,686	0,00498
2131,348	0,00499
2135,010	0,00498
2138,672	0,00489
2142,334	0,00474
2145,996	0,00472
2149,658	0,00476
2153,320	0,00477
2156,982	0,00477
2160,645	0,00468
2164,307	0,00455
2167,969	0,00445
2171,631	0,0044
2175,293	0,0044
2178,955	0,00441
2182,617	0,00435
2186,279	0,00428
2189,941	0,00432
2193,604	0,00444
2197,266	0,00443
2200,928	0,00429
2204,590	0,00423
2208,252	0,00423
2211,914	0,0042
2215,576	0,0041
2219,238	0,00404
2222,900	0,00412
2226,563	0,00425
2230,225	0,00433
2233,887	0,00428
2237,549	0,00412
2241,211	0,00407
2244,873	0,00415
2248,535	0,00413
2252,197	0,00403
2255,859	0,004
2259,521	0,00405
2263,184	0,00408
2266,846	0,004
2270,508	0,00389
2274,170	0,00384
2277,832	0,00383
2281,494	0,00385
2285,156	0,00386
2288,818	0,00382
2292,480	0,00374
2296,143	0,00369
2299,805	0,00368
2303,467	0,00365
2307,129	0,00363
2310,791	0,00363
2314,453	0,00363
2318,115	0,0036
2321,777	0,00357
2325,439	0,00357
2329,102	0,00361
2332,764	0,00368
2336,426	0,00373
2340,088	0,00372
2343,750	0,00371
2347,412	0,00369
2351,074	0,00363
2354,736	0,00361
2358,398	0,00367
2362,061	0,00377
2365,723	0,00381
2369,385	0,00379
2373,047	0,00374
2376,709	0,00367
2380,371	0,0036
2384,033	0,00358
2387,695	0,0036
2391,357	0,00362
2395,020	0,00358
2398,682	0,00354
2402,344	0,00354
2406,006	0,00354
2409,668	0,00352
2413,330	0,00352
2416,992	0,00353
2420,654	0,00352
2424,316	0,0035
2427,979	0,00351
2431,641	0,0035
2435,303	0,00342
2438,965	0,00331
2442,627	0,00323
2446,289	0,00318
2449,951	0,00318
2453,613	0,0032
2457,275	0,00325
2460,938	0,00327
2464,600	0,00325
2468,262	0,0032
2471,924	0,00315
2475,586	0,00312
2479,248	0,00313
2482,910	0,00318
2486,572	0,00324
2490,234	0,00326
2493,896	0,00324
2497,559	0,00323
2501,221	0,00327
2504,883	0,00328
2508,545	0,00324
2512,207	0,00321
2515,869	0,00321
2519,531	0,00318
2523,193	0,00311
2526,855	0,0031
2530,518	0,00315
2534,180	0,00314
2537,842	0,00311
2541,504	0,00315
2545,166	0,00318
2548,828	0,00314
2552,490	0,00307
2556,152	0,00302
2559,814	0,00294
2563,477	0,00289
2567,139	0,00288
2570,801	0,00291
2574,463	0,00295
2578,125	0,00298
2581,787	0,00297
2585,449	0,00296
2589,111	0,00297
2592,773	0,00298
2596,436	0,00297
2600,098	0,00292
2603,760	0,00285
2607,422	0,00285
2611,084	0,00289
2614,746	0,00291
2618,408	0,00291
2622,070	0,00288
2625,732	0,00288
2629,395	0,00294
2633,057	0,00297
2636,719	0,00288
2640,381	0,00275
2644,043	0,00268
2647,705	0,00271
2651,367	0,00282
2655,029	0,00289
2658,691	0,00286
2662,354	0,00282
2666,016	0,00278
2669,678	0,00277
2673,340	0,00279
2677,002	0,00279
2680,664	0,00273
2684,326	0,00271
2687,988	0,00274
2691,650	0,00278
2695,313	0,0028
2698,975	0,00283
2702,637	0,00284
2706,299	0,00284
2709,961	0,00279
2713,623	0,00276
2717,285	0,00275
2720,947	0,00273
2724,609	0,00271
2728,271	0,00272
2731,934	0,00274
2735,596	0,00275
2739,258	0,00273
2742,920	0,00267
2746,582	0,00263
2750,244	0,00266
2753,906	0,00269
2757,568	0,00266
2761,230	0,0026
2764,893	0,00259
2768,555	0,0026
2772,217	0,00262
2775,879	0,00264
2779,541	0,00262
2783,203	0,00258
2786,865	0,00258
2790,527	0,0026
2794,189	0,00257
2797,852	0,00248
2801,514	0,00243
2805,176	0,00246
2808,838	0,00253
2812,500	0,00257
2816,162	0,0026
2819,824	0,00258
2823,486	0,00252
2827,148	0,00252
2830,811	0,00259
2834,473	0,00259
2838,135	0,00249
2841,797	0,00246
2845,459	0,00255
2849,121	0,00262
2852,783	0,00258
2856,445	0,00252
2860,107	0,00245
2863,770	0,00242
2867,432	0,00247
2871,094	0,00256
2874,756	0,00258
2878,418	0,00251
2882,080	0,00246
2885,742	0,00243
2889,404	0,00238
2893,066	0,00235
2896,729	0,00235
2900,391	0,00236
2904,053	0,00242
2907,715	0,00249
2911,377	0,00248
2915,039	0,00244
2918,701	0,00241
2922,363	0,00236
2926,025	0,00228
2929,688	0,00224
2933,350	0,00228
2937,012	0,00234
2940,674	0,0024
2944,336	0,00243
2947,998	0,00243
2951,660	0,00246
2955,322	0,00247
2958,984	0,00245
2962,646	0,00241
2966,309	0,00235
2969,971	0,00234
2973,633	0,00238
2977,295	0,00239
2980,957	0,00239
2984,619	0,00239
2988,281	0,00237
2991,943	0,00234
2995,605	0,00231
2999,268	0,00231
3002,930	0,00234
3006,592	0,00234
3010,254	0,00236
3013,916	0,0024
3017,578	0,00241
3021,240	0,00236
3024,902	0,00231
3028,564	0,00229
3032,227	0,00228
3035,889	0,00224
3039,551	0,0022
3043,213	0,00221
3046,875	0,00224
3050,537	0,00228
3054,199	0,0023
3057,861	0,00233
3061,523	0,00234
3065,186	0,00227
3068,848	0,00223
3072,510	0,00228
3076,172	0,00234
3079,834	0,00233
3083,496	0,00227
3087,158	0,00223
3090,820	0,00224
3094,482	0,00224
3098,145	0,00223
3101,807	0,00223
3105,469	0,00225
3109,131	0,00228
3112,793	0,00227
3116,455	0,00221
3120,117	0,00219
3123,779	0,00219
3127,441	0,00217
3131,104	0,00215
3134,766	0,00218
3138,428	0,00219
3142,090	0,00215
3145,752	0,00209
3149,414	0,00206
3153,076	0,00203
3156,738	0,00204
3160,400	0,00207
3164,063	0,00209
3167,725	0,00211
3171,387	0,00215
3175,049	0,00217
3178,711	0,00217
3182,373	0,00214
3186,035	0,0021
3189,697	0,0021
3193,359	0,00211
3197,021	0,00214
3200,684	0,00213
3204,346	0,00207
3208,008	0,00206
3211,670	0,00212
3215,332	0,00213
3218,994	0,00209
3222,656	0,00206
3226,318	0,00206
3229,980	0,00203
3233,643	0,00198
3237,305	0,00199
3240,967	0,00204
3244,629	0,00207
3248,291	0,00204
3251,953	0,002
3255,615	0,00197
3259,277	0,00197
3262,939	0,00199
3266,602	0,00203
3270,264	0,00206
3273,926	0,00208
3277,588	0,00209
3281,250	0,00201
3284,912	0,0019
