Frequency [Hz]	S(f)
0,000	0,124
3,662	0,293
7,324	0,298
10,986	0,227
14,648	0,185
18,311	0,16
21,973	0,139
25,635	0,126
29,297	0,121
32,959	0,121
36,621	0,118
40,283	0,111
43,945	0,106
47,607	0,104
51,270	0,104
54,932	0,104
58,594	0,102
62,256	0,0988
65,918	0,0956
69,580	0,0956
73,242	0,0969
76,904	0,0975
80,566	0,0996
84,229	0,102
87,891	0,101
91,553	0,1
95,215	0,1
98,877	0,0993
102,539	0,0986
106,201	0,101
109,863	0,103
113,525	0,103
117,188	0,104
120,850	0,104
124,512	0,102
128,174	0,0995
131,836	0,0985
135,498	0,1
139,160	0,102
142,822	0,102
146,484	0,101
150,146	0,0995
153,809	0,0985
157,471	0,0986
161,133	0,0986
164,795	0,0986
168,457	0,0994
172,119	0,1
175,781	0,101
179,443	0,0997
183,105	0,0955
186,768	0,0921
190,430	0,0923
194,092	0,0944
197,754	0,0948
201,416	0,0938
205,078	0,0943
208,740	0,0965
212,402	0,0969
216,064	0,095
219,727	0,093
223,389	0,0923
227,051	0,0943
230,713	0,0979
234,375	0,0979
238,037	0,0937
241,699	0,0903
245,361	0,0902
249,023	0,092
252,686	0,0931
256,348	0,0922
260,010	0,0904
263,672	0,0888
267,334	0,0872
270,996	0,0858
274,658	0,0858
278,320	0,0863
281,982	0,0862
285,645	0,0862
289,307	0,0865
292,969	0,0859
296,631	0,0844
300,293	0,0836
303,955	0,0845
307,617	0,0867
311,279	0,0889
314,941	0,0889
318,604	0,086
322,266	0,0829
325,928	0,0817
329,590	0,0817
333,252	0,0809
336,914	0,0788
340,576	0,0768
344,238	0,0762
347,900	0,077
351,563	0,0768
355,225	0,0758
358,887	0,0754
362,549	0,0753
366,211	0,0747
369,873	0,0736
373,535	0,0729
377,197	0,0741
380,859	0,0755
384,521	0,0743
388,184	0,0718
391,846	0,0705
395,508	0,0703
399,170	0,07
402,832	0,0695
406,494	0,0688
410,156	0,0693
413,818	0,0712
417,480	0,0713
421,143	0,0686
424,805	0,0668
428,467	0,0673
432,129	0,0664
435,791	0,0633
439,453	0,0619
443,115	0,0632
446,777	0,0653
450,439	0,0666
454,102	0,0659
457,764	0,0648
461,426	0,0644
465,088	0,0639
468,750	0,0632
472,412	0,0622
476,074	0,0612
479,736	0,0602
483,398	0,0588
487,061	0,0576
490,723	0,0576
494,385	0,0581
498,047	0,058
501,709	0,0574
505,371	0,0576
509,033	0,0584
512,695	0,0581
516,357	0,0571
520,020	0,0563
523,682	0,0551
527,344	0,0535
531,006	0,0534
534,668	0,0542
538,330	0,0538
541,992	0,0526
545,654	0,0519
549,316	0,0521
552,979	0,0527
556,641	0,0534
560,303	0,0538
563,965	0,0533
567,627	0,0524
571,289	0,0515
574,951	0,0504
578,613	0,0493
582,275	0,049
585,938	0,0499
589,600	0,0505
593,262	0,0497
596,924	0,0483
600,586	0,0472
604,248	0,047
607,910	0,0474
611,572	0,0473
615,234	0,0468
618,896	0,0467
622,559	0,0462
626,221	0,0455
629,883	0,0451
633,545	0,0452
637,207	0,0454
640,869	0,0454
644,531	0,0456
648,193	0,0458
651,855	0,0453
655,518	0,0443
659,180	0,0427
662,842	0,0418
666,504	0,0421
670,166	0,0422
673,828	0,0419
677,490	0,0418
681,152	0,0411
684,814	0,0396
688,477	0,0389
692,139	0,0389
695,801	0,0393
699,463	0,0397
703,125	0,0398
706,787	0,0399
710,449	0,0397
714,111	0,0391
717,773	0,0384
721,436	0,0379
725,098	0,0381
728,760	0,0383
732,422	0,0378
736,084	0,0375
739,746	0,0373
743,408	0,0369
747,070	0,0368
750,732	0,037
754,395	0,0368
758,057	0,036
761,719	0,0354
765,381	0,0352
769,043	0,035
772,705	0,0342
776,367	0,0336
780,029	0,0341
783,691	0,0346
787,354	0,0347
791,016	0,0346
794,678	0,0343
798,340	0,0336
802,002	0,0327
805,664	0,0323
809,326	0,0328
812,988	0,0336
816,650	0,0335
820,313	0,0329
823,975	0,0323
827,637	0,0319
831,299	0,0316
834,961	0,0313
838,623	0,0312
842,285	0,0309
845,947	0,0302
849,609	0,0294
853,271	0,0293
856,934	0,0298
860,596	0,0298
864,258	0,0295
867,920	0,0294
871,582	0,0295
875,244	0,0293
878,906	0,0294
882,568	0,0301
886,230	0,0303
889,893	0,0299
893,555	0,03
897,217	0,0302
900,879	0,0295
904,541	0,0286
908,203	0,0281
911,865	0,0277
915,527	0,0275
919,189	0,0278
922,852	0,0281
926,514	0,0282
930,176	0,0281
933,838	0,0275
937,500	0,0268
941,162	0,0268
944,824	0,0271
948,486	0,0274
952,148	0,0275
955,811	0,027
959,473	0,0265
963,135	0,0265
966,797	0,0266
970,459	0,0262
974,121	0,0257
977,783	0,0255
981,445	0,0254
985,107	0,0255
988,770	0,0255
992,432	0,0252
996,094	0,0248
999,756	0,0246
1003,418	0,0245
1007,080	0,0239
1010,742	0,0233
1014,404	0,0233
1018,066	0,0241
1021,729	0,0249
1025,391	0,0251
1029,053	0,0246
1032,715	0,0241
1036,377	0,0241
1040,039	0,0245
1043,701	0,0246
1047,363	0,0239
1051,025	0,0233
1054,688	0,023
1058,350	0,0228
1062,012	0,0225
1065,674	0,0224
1069,336	0,0223
1072,998	0,0223
1076,660	0,0223
1080,322	0,0222
1083,984	0,0221
1087,646	0,0217
1091,309	0,0214
1094,971	0,0217
1098,633	0,0222
1102,295	0,0224
1105,957	0,0224
1109,619	0,0222
1113,281	0,0217
1116,943	0,0213
1120,605	0,0212
1124,268	0,0213
1127,930	0,0215
1131,592	0,0216
1135,254	0,0213
1138,916	0,0207
1142,578	0,0202
1146,240	0,0199
1149,902	0,0198
1153,564	0,0196
1157,227	0,0195
1160,889	0,0198
1164,551	0,0201
1168,213	0,0201
1171,875	0,0197
1175,537	0,0192
1179,199	0,0193
1182,861	0,0196
1186,523	0,02
1190,186	0,0204
1193,848	0,0201
1197,510	0,0199
1201,172	0,02
1204,834	0,0198
1208,496	0,0191
1212,158	0,0184
1215,820	0,0179
1219,482	0,0181
1223,145	0,0185
1226,807	0,0188
1230,469	0,0189
1234,131	0,0186
1237,793	0,0182
1241,455	0,0182
1245,117	0,0181
1248,779	0,0179
1252,441	0,0179
1256,104	0,0181
1259,766	0,0182
1263,428	0,018
1267,090	0,0178
1270,752	0,0176
1274,414	0,0171
1278,076	0,0168
1281,738	0,0171
1285,400	0,0175
1289,063	0,0177
1292,725	0,0174
1296,387	0,0165
1300,049	0,0161
1303,711	0,0164
1307,373	0,0168
1311,035	0,017
1314,697	0,017
1318,359	0,0171
1322,021	0,0173
1325,684	0,0173
1329,346	0,017
1333,008	0,0165
1336,670	0,016
1340,332	0,0157
1343,994	0,0156
1347,656	0,0157
1351,318	0,0159
1354,980	0,0158
1358,643	0,0157
1362,305	0,0158
1365,967	0,0159
1369,629	0,0156
1373,291	0,0152
1376,953	0,0148
1380,615	0,0149
1384,277	0,0152
1387,939	0,0153
1391,602	0,0152
1395,264	0,0151
1398,926	0,015
1402,588	0,0149
1406,250	0,0148
1409,912	0,0148
1413,574	0,0148
1417,236	0,0148
1420,898	0,0148
1424,561	0,015
1428,223	0,0151
1431,885	0,0146
1435,547	0,0144
1439,209	0,0144
1442,871	0,0144
1446,533	0,0143
1450,195	0,0143
1453,857	0,0143
1457,520	0,0142
1461,182	0,0142
1464,844	0,0141
1468,506	0,0141
1472,168	0,0142
1475,830	0,0142
1479,492	0,0141
1483,154	0,0141
1486,816	0,014
1490,479	0,0138
1494,141	0,0137
1497,803	0,0136
1501,465	0,0135
1505,127	0,0135
1508,789	0,0138
1512,451	0,0141
1516,113	0,0141
1519,775	0,0139
1523,438	0,0138
1527,100	0,0139
1530,762	0,014
1534,424	0,0137
1538,086	0,0133
1541,748	0,0132
1545,410	0,0131
1549,072	0,013
1552,734	0,0128
1556,396	0,0128
1560,059	0,0127
1563,721	0,0128
1567,383	0,0126
1571,045	0,0123
1574,707	0,0121
1578,369	0,012
1582,031	0,0121
1585,693	0,0123
1589,355	0,0125
1593,018	0,0125
1596,680	0,0126
1600,342	0,0128
1604,004	0,0127
1607,666	0,0126
1611,328	0,0124
1614,990	0,012
1618,652	0,0118
1622,314	0,012
1625,977	0,0122
1629,639	0,0121
1633,301	0,0119
1636,963	0,0119
1640,625	0,012
1644,287	0,012
1647,949	0,0117
1651,611	0,0117
1655,273	0,012
1658,936	0,0124
1662,598	0,0123
1666,260	0,012
1669,922	0,0116
1673,584	0,0114
1677,246	0,0115
1680,908	0,0116
1684,570	0,0115
1688,232	0,0115
1691,895	0,0115
1695,557	0,0114
1699,219	0,0113
1702,881	0,0111
1706,543	0,0112
1710,205	0,0113
1713,867	0,0113
1717,529	0,0111
1721,191	0,011
1724,854	0,0111
1728,516	0,0109
1732,178	0,0106
1735,840	0,0105
1739,502	0,0105
1743,164	0,0105
1746,826	0,0105
1750,488	0,0105
1754,150	0,0105
1757,813	0,0105
1761,475	0,0105
1765,137	0,0103
1768,799	0,0103
1772,461	0,0105
1776,123	0,0105
1779,785	0,0104
1783,447	0,0103
1787,109	0,0103
1790,771	0,0104
1794,434	0,0104
1798,096	0,0103
1801,758	0,0103
1805,420	0,0102
1809,082	0,01
1812,744	0,00995
1816,406	0,00997
1820,068	0,00995
1823,730	0,00996
1827,393	0,0102
1831,055	0,0105
1834,717	0,0104
1838,379	0,0103
1842,041	0,0102
1845,703	0,0101
1849,365	0,01
1853,027	0,00994
1856,689	0,00984
1860,352	0,00984
1864,014	0,00987
1867,676	0,00991
