Frequency [Hz]	S(f)
0,000	0,112
3,662	0,281
7,324	0,31
10,986	0,254
14,648	0,215
18,311	0,193
21,973	0,178
25,635	0,17
29,297	0,162
32,959	0,155
36,621	0,151
40,283	0,149
43,945	0,15
47,607	0,154
51,270	0,159
54,932	0,16
58,594	0,156
62,256	0,152
65,918	0,146
69,580	0,142
73,242	0,14
76,904	0,139
80,566	0,139
84,229	0,14
87,891	0,139
91,553	0,137
95,215	0,137
98,877	0,138
102,539	0,139
106,201	0,135
109,863	0,13
113,525	0,127
117,188	0,126
120,850	0,123
124,512	0,119
128,174	0,115
131,836	0,115
135,498	0,114
139,160	0,111
142,822	0,108
146,484	0,106
150,146	0,103
153,809	0,101
157,471	0,101
161,133	0,1
164,795	0,0993
168,457	0,0976
172,119	0,0937
175,781	0,0887
179,443	0,0858
183,105	0,085
186,768	0,0842
190,430	0,0831
194,092	0,0837
197,754	0,0846
201,416	0,0822
205,078	0,0779
208,740	0,0755
212,402	0,075
216,064	0,0738
219,727	0,0718
223,389	0,0696
227,051	0,0672
230,713	0,0654
234,375	0,0637
238,037	0,0621
241,699	0,0617
245,361	0,0611
249,023	0,059
252,686	0,0581
256,348	0,0588
260,010	0,0578
263,672	0,0556
267,334	0,0543
270,996	0,0535
274,658	0,0527
278,320	0,0518
281,982	0,0507
285,645	0,0504
289,307	0,0508
292,969	0,0501
296,631	0,0489
300,293	0,0486
303,955	0,0484
307,617	0,047
311,279	0,0451
314,941	0,0443
318,604	0,0447
322,266	0,0449
325,928	0,0441
329,590	0,0428
333,252	0,0421
336,914	0,0424
340,576	0,0422
344,238	0,041
347,900	0,0395
351,563	0,038
355,225	0,0369
358,887	0,0367
362,549	0,0367
366,211	0,0362
369,873	0,0356
373,535	0,0348
377,197	0,0341
380,859	0,0339
384,521	0,0341
388,184	0,034
391,846	0,0334
395,508	0,0333
399,170	0,0333
402,832	0,0326
406,494	0,0314
410,156	0,0303
413,818	0,0298
417,480	0,0299
421,143	0,03
424,805	0,0298
428,467	0,0296
432,129	0,0294
435,791	0,0294
439,453	0,0295
443,115	0,0291
446,777	0,0285
450,439	0,0278
454,102	0,0272
457,764	0,0267
461,426	0,0261
465,088	0,0254
468,750	0,0251
472,412	0,0253
476,074	0,0253
479,736	0,0252
483,398	0,0251
487,061	0,0248
490,723	0,0241
494,385	0,0236
498,047	0,0235
501,709	0,0234
505,371	0,0232
509,033	0,0227
512,695	0,0223
516,357	0,0223
520,020	0,0224
523,682	0,0224
527,344	0,0221
531,006	0,0216
