Frequency [Hz]	S(f)
0,000	0,114
3,662	0,271
7,324	0,277
10,986	0,211
14,648	0,17
18,311	0,148
21,973	0,136
25,635	0,132
29,297	0,128
32,959	0,124
36,621	0,119
40,283	0,115
43,945	0,115
47,607	0,114
51,270	0,113
54,932	0,113
58,594	0,113
62,256	0,111
65,918	0,11
69,580	0,112
73,242	0,115
76,904	0,116
80,566	0,115
84,229	0,113
87,891	0,113
91,553	0,112
95,215	0,113
98,877	0,113
102,539	0,112
106,201	0,109
109,863	0,107
113,525	0,104
117,188	0,103
120,850	0,105
124,512	0,109
128,174	0,111
131,836	0,111
135,498	0,11
139,160	0,11
142,822	0,11
146,484	0,11
150,146	0,111
153,809	0,11
157,471	0,108
161,133	0,105
164,795	0,106
168,457	0,108
172,119	0,108
175,781	0,105
179,443	0,103
183,105	0,101
186,768	0,101
190,430	0,101
194,092	0,1
197,754	0,0997
201,416	0,1
205,078	0,101
208,740	0,103
212,402	0,101
216,064	0,097
219,727	0,0942
223,389	0,0927
227,051	0,0941
230,713	0,0963
234,375	0,0953
238,037	0,092
241,699	0,0911
245,361	0,0921
249,023	0,0922
252,686	0,0915
256,348	0,0899
260,010	0,0887
263,672	0,0882
267,334	0,0869
270,996	0,0857
274,658	0,0856
278,320	0,0856
281,982	0,0836
285,645	0,0803
289,307	0,079
292,969	0,0798
296,631	0,0794
300,293	0,0783
303,955	0,0785
307,617	0,079
311,279	0,0786
314,941	0,077
318,604	0,0755
322,266	0,0756
325,928	0,0765
329,590	0,0767
333,252	0,0765
336,914	0,0755
340,576	0,0732
344,238	0,0718
347,900	0,0719
351,563	0,0716
355,225	0,0706
358,887	0,0697
362,549	0,069
366,211	0,0692
369,873	0,0692
373,535	0,0679
377,197	0,0666
380,859	0,066
384,521	0,0652
388,184	0,0651
391,846	0,0661
395,508	0,0659
399,170	0,064
402,832	0,0624
406,494	0,0621
410,156	0,0625
413,818	0,0617
417,480	0,0596
421,143	0,0586
424,805	0,0591
428,467	0,059
432,129	0,0583
435,791	0,0571
439,453	0,0568
443,115	0,0585
446,777	0,0591
450,439	0,0573
454,102	0,0564
457,764	0,0564
461,426	0,0553
465,088	0,0545
468,750	0,0544
472,412	0,0541
476,074	0,0533
479,736	0,0517
483,398	0,051
487,061	0,0513
490,723	0,0512
494,385	0,0509
498,047	0,0508
501,709	0,0507
505,371	0,0502
509,033	0,0496
512,695	0,0496
516,357	0,0503
520,020	0,0497
523,682	0,048
527,344	0,0463
531,006	0,0449
534,668	0,0447
538,330	0,0448
541,992	0,0441
545,654	0,0437
549,316	0,0437
552,979	0,0436
556,641	0,0435
560,303	0,0428
563,965	0,0416
567,627	0,0415
571,289	0,0425
574,951	0,0426
578,613	0,0416
582,275	0,041
585,938	0,0413
589,600	0,0414
593,262	0,0404
596,924	0,0394
600,586	0,0393
604,248	0,0394
607,910	0,0392
611,572	0,0387
615,234	0,0379
618,896	0,0377
622,559	0,0385
626,221	0,0382
