Frequency [Hz]	S(f)
0,000	0,144
3,662	0,383
7,324	0,448
10,986	0,373
14,648	0,304
18,311	0,269
21,973	0,247
25,635	0,23
29,297	0,219
32,959	0,212
36,621	0,203
40,283	0,192
43,945	0,18
47,607	0,168
51,270	0,16
54,932	0,154
58,594	0,145
62,256	0,135
65,918	0,127
69,580	0,119
73,242	0,115
76,904	0,113
80,566	0,11
84,229	0,105
87,891	0,1
91,553	0,0951
95,215	0,0893
98,877	0,0846
102,539	0,0806
106,201	0,0767
109,863	0,0726
113,525	0,0689
117,188	0,0663
120,850	0,0649
124,512	0,0639
128,174	0,0619
131,836	0,0589
135,498	0,0563
139,160	0,0544
142,822	0,0519
146,484	0,0489
150,146	0,0471
153,809	0,0461
157,471	0,0454
161,133	0,044
164,795	0,0415
168,457	0,0401
172,119	0,0394
175,781	0,038
179,443	0,0359
183,105	0,0341
186,768	0,0332
190,430	0,0334
194,092	0,0338
197,754	0,0338
201,416	0,0327
205,078	0,0311
208,740	0,0298
212,402	0,0284
216,064	0,027
219,727	0,0265
223,389	0,0263
227,051	0,0258
230,713	0,0253
234,375	0,0248
238,037	0,0243
241,699	0,0241
245,361	0,0237
249,023	0,023
252,686	0,022
256,348	0,0213
260,010	0,0211
263,672	0,0211
267,334	0,021
270,996	0,0204
274,658	0,0194
278,320	0,0187
281,982	0,0184
285,645	0,0182
289,307	0,0176
292,969	0,0171
296,631	0,0168
300,293	0,0166
303,955	0,0165
307,617	0,0164
311,279	0,0157
314,941	0,015
318,604	0,0148
322,266	0,015
325,928	0,0151
329,590	0,015
333,252	0,0148
336,914	0,0147
340,576	0,0144
344,238	0,0139
347,900	0,0135
351,563	0,0133
355,225	0,0132
358,887	0,0131
362,549	0,0128
366,211	0,0124
369,873	0,0118
373,535	0,0115
377,197	0,0114
380,859	0,0113
384,521	0,0116
388,184	0,0119
391,846	0,0119
395,508	0,0115
399,170	0,0108
402,832	0,0104
406,494	0,0104
410,156	0,0105
413,818	0,0105
417,480	0,0106
421,143	0,0104
424,805	0,00993
428,467	0,00965
432,129	0,00965
435,791	0,0097
439,453	0,00973
443,115	0,00961
446,777	0,00943
450,439	0,00944
454,102	0,00956
457,764	0,00947
461,426	0,00913
465,088	0,00886
468,750	0,00865
472,412	0,0084
476,074	0,00828
479,736	0,0083
483,398	0,00833
487,061	0,00833
490,723	0,00826
494,385	0,00803
498,047	0,00773
501,709	0,00757
505,371	0,00761
509,033	0,00759
512,695	0,00745
516,357	0,00743
520,020	0,00748
523,682	0,00741
527,344	0,00729
531,006	0,00712
534,668	0,00694
538,330	0,00681
541,992	0,0067
545,654	0,00663
549,316	0,00661
552,979	0,00661
556,641	0,0066
560,303	0,00658
563,965	0,00657
567,627	0,00656
571,289	0,00646
574,951	0,00639
578,613	0,00633
582,275	0,0062
585,938	0,00609
589,600	0,00601
593,262	0,006
596,924	0,00602
600,586	0,00597
604,248	0,00596
607,910	0,00604
611,572	0,00606
615,234	0,006
618,896	0,00593
622,559	0,0058
626,221	0,00564
629,883	0,00555
633,545	0,00546
637,207	0,00541
640,869	0,00542
644,531	0,00534
648,193	0,0052
651,855	0,0052
655,518	0,00532
659,180	0,00536
662,842	0,00522
666,504	0,00511
670,166	0,00508
673,828	0,00503
677,490	0,00503
681,152	0,00507
684,814	0,00497
688,477	0,00483
692,139	0,00476
695,801	0,00469
699,463	0,0046
703,125	0,00454
706,787	0,00451
710,449	0,00449
714,111	0,00446
717,773	0,00443
721,436	0,00436
725,098	0,00431
728,760	0,00431
732,422	0,00433
736,084	0,00435
739,746	0,00434
743,408	0,00426
747,070	0,00412
750,732	0,00402
754,395	0,00404
758,057	0,00406
761,719	0,00401
765,381	0,00398
769,043	0,00399
772,705	0,00396
776,367	0,0039
780,029	0,00381
783,691	0,00374
787,354	0,00371
791,016	0,0037
794,678	0,00365
798,340	0,00361
802,002	0,00363
805,664	0,00363
809,326	0,00362
812,988	0,00367
816,650	0,00373
820,313	0,00372
823,975	0,00362
