Frequency [Hz]	S(f)
0,000	0,103
3,662	0,258
7,324	0,285
10,986	0,232
14,648	0,191
18,311	0,17
21,973	0,158
25,635	0,148
29,297	0,141
32,959	0,139
36,621	0,138
40,283	0,132
43,945	0,126
47,607	0,124
51,270	0,127
54,932	0,129
58,594	0,128
62,256	0,127
65,918	0,125
69,580	0,125
73,242	0,127
76,904	0,126
80,566	0,129
84,229	0,133
87,891	0,137
91,553	0,137
95,215	0,136
98,877	0,135
102,539	0,132
106,201	0,128
109,863	0,127
113,525	0,126
117,188	0,123
120,850	0,121
124,512	0,119
128,174	0,118
131,836	0,117
135,498	0,115
139,160	0,115
142,822	0,118
146,484	0,12
150,146	0,118
153,809	0,116
157,471	0,114
161,133	0,111
164,795	0,109
168,457	0,109
172,119	0,108
175,781	0,105
179,443	0,104
183,105	0,104
186,768	0,101
190,430	0,0964
194,092	0,0944
197,754	0,0937
201,416	0,0935
205,078	0,0943
208,740	0,0944
212,402	0,0922
216,064	0,0899
219,727	0,0895
223,389	0,0893
227,051	0,087
230,713	0,0845
234,375	0,0836
238,037	0,0834
241,699	0,0836
245,361	0,0836
249,023	0,0823
252,686	0,0805
256,348	0,0783
260,010	0,0756
263,672	0,0742
267,334	0,0744
270,996	0,0747
274,658	0,0742
278,320	0,0726
281,982	0,0706
285,645	0,0687
289,307	0,0671
292,969	0,0665
296,631	0,0664
300,293	0,0647
303,955	0,0625
307,617	0,0627
311,279	0,0639
314,941	0,0648
318,604	0,0651
322,266	0,0644
325,928	0,0632
329,590	0,061
333,252	0,058
336,914	0,0559
340,576	0,0554
344,238	0,056
347,900	0,0566
351,563	0,0562
355,225	0,0555
358,887	0,0552
362,549	0,0545
366,211	0,0535
369,873	0,0522
373,535	0,0508
377,197	0,0495
380,859	0,0487
384,521	0,0488
388,184	0,0492
391,846	0,0489
395,508	0,0477
399,170	0,046
402,832	0,0448
406,494	0,0449
410,156	0,0456
413,818	0,0455
417,480	0,0446
421,143	0,0436
424,805	0,0435
428,467	0,0438
432,129	0,043
435,791	0,0418
439,453	0,0413
443,115	0,0412
446,777	0,0408
450,439	0,0403
454,102	0,0395
457,764	0,0385
461,426	0,038
465,088	0,0377
468,750	0,0373
472,412	0,0367
476,074	0,0359
479,736	0,0354
483,398	0,0351
487,061	0,0346
490,723	0,0342
494,385	0,0347
498,047	0,0353
501,709	0,035
505,371	0,0342
509,033	0,0334
512,695	0,0328
516,357	0,0329
520,020	0,033
523,682	0,0326
527,344	0,0323
531,006	0,0323
534,668	0,0319
538,330	0,0314
541,992	0,0311
545,654	0,0312
549,316	0,0309
552,979	0,0295
556,641	0,0289
560,303	0,0291
563,965	0,0291
567,627	0,0289
571,289	0,029
574,951	0,0293
578,613	0,0288
582,275	0,0276
585,938	0,0266
589,600	0,0261
593,262	0,0262
596,924	0,0268
600,586	0,0272
604,248	0,0272
607,910	0,0273
611,572	0,0272
615,234	0,0266
618,896	0,0258
622,559	0,0255
626,221	0,0251
629,883	0,0245
633,545	0,0242
637,207	0,0245
640,869	0,025
644,531	0,0251
648,193	0,0247
651,855	0,0243
655,518	0,024
659,180	0,0236
662,842	0,0231
666,504	0,0228
670,166	0,0227
673,828	0,0227
677,490	0,0228
681,152	0,0225
684,814	0,0218
688,477	0,0211
692,139	0,0209
695,801	0,021
699,463	0,0211
703,125	0,021
706,787	0,0211
710,449	0,0214
714,111	0,0217
717,773	0,0217
721,436	0,0212
725,098	0,0201
728,760	0,0195
732,422	0,0196
736,084	0,0198
739,746	0,0199
743,408	0,0199
747,070	0,0199
750,732	0,0195
754,395	0,0189
758,057	0,0188
761,719	0,0189
765,381	0,0189
769,043	0,0185
772,705	0,0179
776,367	0,0173
780,029	0,0169
783,691	0,0171
787,354	0,0176
791,016	0,0177
794,678	0,0175
798,340	0,0174
802,002	0,0174
805,664	0,0176
809,326	0,0178
812,988	0,0176
816,650	0,0173
820,313	0,0171
823,975	0,0168
827,637	0,0167
831,299	0,0166
834,961	0,0164
838,623	0,0162
842,285	0,0161
845,947	0,0162
849,609	0,0162
853,271	0,0162
856,934	0,0162
860,596	0,0162
864,258	0,016
867,920	0,0157
871,582	0,0153
875,244	0,0151
878,906	0,0151
882,568	0,0153
886,230	0,0154
889,893	0,0153
893,555	0,0151
897,217	0,0148
900,879	0,0145
904,541	0,0144
908,203	0,0143
911,865	0,014
915,527	0,0139
919,189	0,0144
922,852	0,0146
926,514	0,0144
930,176	0,0142
933,838	0,0143
937,500	0,0144
941,162	0,0144
944,824	0,0142
948,486	0,0136
952,148	0,0131
955,811	0,013
959,473	0,0131
963,135	0,0132
966,797	0,0131
970,459	0,013
974,121	0,0131
977,783	0,0133
981,445	0,0132
985,107	0,013
988,770	0,0129
992,432	0,0129
996,094	0,0128
999,756	0,0128
1003,418	0,0128
1007,080	0,0127
1010,742	0,0125
1014,404	0,0125
1018,066	0,0127
1021,729	0,0127
1025,391	0,0122
1029,053	0,0117
1032,715	0,0116
1036,377	0,0119
1040,039	0,0122
1043,701	0,0119
1047,363	0,0115
1051,025	0,0114
1054,688	0,0113
1058,350	0,0112
1062,012	0,0114
1065,674	0,0118
1069,336	0,0118
1072,998	0,0115
1076,660	0,0112
1080,322	0,0113
1083,984	0,0114
1087,646	0,0113
1091,309	0,0114
