Frequency [Hz]	S(f)
0,000	0,115
3,662	0,29
7,324	0,319
10,986	0,253
14,648	0,205
18,311	0,186
21,973	0,176
25,635	0,166
29,297	0,156
32,959	0,155
36,621	0,158
40,283	0,158
43,945	0,157
47,607	0,156
51,270	0,153
54,932	0,15
58,594	0,147
62,256	0,143
65,918	0,14
69,580	0,14
73,242	0,142
76,904	0,144
80,566	0,144
84,229	0,143
87,891	0,143
91,553	0,143
95,215	0,143
98,877	0,14
102,539	0,133
106,201	0,128
109,863	0,127
113,525	0,125
117,188	0,123
120,850	0,125
124,512	0,128
128,174	0,126
131,836	0,121
135,498	0,118
139,160	0,117
142,822	0,118
146,484	0,12
150,146	0,12
153,809	0,116
157,471	0,11
161,133	0,107
164,795	0,106
168,457	0,104
172,119	0,103
175,781	0,102
179,443	0,101
183,105	0,1
186,768	0,0985
190,430	0,0959
194,092	0,093
197,754	0,0906
201,416	0,0881
205,078	0,0856
208,740	0,0842
212,402	0,083
216,064	0,0808
219,727	0,0791
223,389	0,0785
227,051	0,0783
230,713	0,0772
234,375	0,0751
238,037	0,0726
241,699	0,0706
245,361	0,0697
249,023	0,0697
252,686	0,0704
256,348	0,07
260,010	0,0668
263,672	0,0625
267,334	0,0605
270,996	0,0614
274,658	0,0614
278,320	0,0593
281,982	0,0581
285,645	0,0585
289,307	0,0588
292,969	0,0583
296,631	0,0572
300,293	0,0561
303,955	0,0556
307,617	0,0557
311,279	0,0555
314,941	0,0535
318,604	0,0512
322,266	0,05
325,928	0,05
329,590	0,0502
333,252	0,0498
336,914	0,0492
340,576	0,0483
344,238	0,047
347,900	0,0462
351,563	0,0455
355,225	0,0447
358,887	0,044
362,549	0,0431
366,211	0,0424
369,873	0,0419
373,535	0,0418
377,197	0,0415
380,859	0,0406
384,521	0,0394
388,184	0,0388
391,846	0,039
395,508	0,0393
399,170	0,0391
402,832	0,0381
406,494	0,0366
410,156	0,0354
413,818	0,035
417,480	0,0351
421,143	0,0354
424,805	0,0352
428,467	0,0346
432,129	0,0342
435,791	0,0337
439,453	0,0329
443,115	0,0319
446,777	0,0314
450,439	0,031
454,102	0,0309
457,764	0,031
461,426	0,0307
465,088	0,03
468,750	0,0294
472,412	0,0295
476,074	0,0298
479,736	0,0296
483,398	0,029
487,061	0,0289
490,723	0,0293
494,385	0,0293
498,047	0,0283
501,709	0,0271
505,371	0,0264
509,033	0,026
512,695	0,0261
516,357	0,0262
520,020	0,0261
523,682	0,0255
527,344	0,0251
531,006	0,0251
534,668	0,025
538,330	0,0246
541,992	0,0243
545,654	0,0239
549,316	0,0234
552,979	0,0234
556,641	0,0239
560,303	0,0243
563,965	0,0243
567,627	0,0241
571,289	0,0235
574,951	0,0224
578,613	0,0217
582,275	0,0219
585,938	0,0224
589,600	0,0224
593,262	0,0222
596,924	0,0218
600,586	0,0214
604,248	0,021
607,910	0,0211
611,572	0,0213
615,234	0,0212
618,896	0,0207
622,559	0,02
626,221	0,0195
629,883	0,0194
633,545	0,0195
637,207	0,019
640,869	0,0187
644,531	0,0189
648,193	0,0192
651,855	0,0192
655,518	0,019
659,180	0,019
662,842	0,019
666,504	0,0186
670,166	0,0181
673,828	0,0178
677,490	0,0178
681,152	0,0175
684,814	0,017
688,477	0,0167
692,139	0,0166
695,801	0,0165
699,463	0,0168
703,125	0,017
706,787	0,0172
710,449	0,0172
714,111	0,017
717,773	0,0165
721,436	0,0163
725,098	0,0161
728,760	0,0156
732,422	0,0153
736,084	0,0152
739,746	0,0153
743,408	0,0155
747,070	0,0152
750,732	0,015
754,395	0,0152
758,057	0,0153
761,719	0,015
765,381	0,0146
769,043	0,0143
772,705	0,0143
776,367	0,0143
780,029	0,0141
783,691	0,0139
787,354	0,0141
791,016	0,0142
794,678	0,0141
798,340	0,014
802,002	0,0137
805,664	0,0135
809,326	0,0137
812,988	0,0141
816,650	0,0144
820,313	0,0141
823,975	0,0134
827,637	0,0129
831,299	0,0127
834,961	0,0126
838,623	0,0125
842,285	0,0125
845,947	0,0128
849,609	0,013
853,271	0,0129
856,934	0,0125
860,596	0,012
864,258	0,012
867,920	0,0121
871,582	0,0121
875,244	0,0119
878,906	0,0117
882,568	0,0114
886,230	0,0112
889,893	0,0111
893,555	0,0114
897,217	0,0114
900,879	0,0113
904,541	0,0114
908,203	0,0113
911,865	0,0112
915,527	0,0111
919,189	0,011
922,852	0,0111
926,514	0,0111
930,176	0,011
933,838	0,011
937,500	0,0111
941,162	0,0109
944,824	0,0109
948,486	0,011
952,148	0,0111
955,811	0,0109
959,473	0,0107
963,135	0,0105
966,797	0,0103
970,459	0,00996
974,121	0,00977
977,783	0,00981
981,445	0,00999
985,107	0,0101
988,770	0,0101
992,432	0,00999
996,094	0,00978
999,756	0,00974
1003,418	0,00977
1007,080	0,00974
1010,742	0,00967
1014,404	0,00954
1018,066	0,00943
1021,729	0,0094
1025,391	0,00929
1029,053	0,00914
1032,715	0,0091
1036,377	0,00907
1040,039	0,0089
1043,701	0,00879
1047,363	0,00894
1051,025	0,00915
1054,688	0,00906
1058,350	0,00878
1062,012	0,00861
1065,674	0,00859
1069,336	0,00863
1072,998	0,00865
1076,660	0,0087
1080,322	0,00884
1083,984	0,00895
1087,646	0,00885
1091,309	0,00856
1094,971	0,00844
1098,633	0,00861
1102,295	0,00875
1105,957	0,00877
1109,619	0,00879
1113,281	0,0087
1116,943	0,00844
1120,605	0,00826
1124,268	0,00825
1127,930	0,00836
1131,592	0,00844
1135,254	0,0085
1138,916	0,00854
1142,578	0,0085
1146,240	0,0083
1149,902	0,00808
1153,564	0,00795
1157,227	0,00785
1160,889	0,00772
1164,551	0,00755
1168,213	0,00741
1171,875	0,00742
1175,537	0,00763
1179,199	0,00772
1182,861	0,00751
1186,523	0,00737
1190,186	0,00749
1193,848	0,00765
1197,510	0,00764
1201,172	0,00748
1204,834	0,00731
1208,496	0,00731
1212,158	0,00744
1215,820	0,0074
1219,482	0,00712
1223,145	0,00691
1226,807	0,00692
1230,469	0,00696
1234,131	0,00688
1237,793	0,00683
1241,455	0,00686
1245,117	0,0068
1248,779	0,00667
1252,441	0,00669
1256,104	0,00682
1259,766	0,00686
1263,428	0,00676
1267,090	0,00667
1270,752	0,00661
1274,414	0,00656
1278,076	0,00662
1281,738	0,00668
1285,400	0,00663
1289,063	0,00658
1292,725	0,00652
1296,387	0,00646
1300,049	0,00648
1303,711	0,00644
1307,373	0,00636
1311,035	0,00638
1314,697	0,00638
1318,359	0,00637
1322,021	0,0064
1325,684	0,00638
1329,346	0,00634
1333,008	0,00634
1336,670	0,00636
1340,332	0,00632
1343,994	0,00624
1347,656	0,00623
1351,318	0,00636
1354,980	0,00643
1358,643	0,00632
1362,305	0,00616
1365,967	0,00614
1369,629	0,00621
1373,291	0,00615
1376,953	0,00603
1380,615	0,00599
1384,277	0,00592
1387,939	0,0059
1391,602	0,00596
1395,264	0,00591
1398,926	0,00577
1402,588	0,00574
1406,250	0,00579
1409,912	0,00583
1413,574	0,00591
1417,236	0,00593
1420,898	0,00584
1424,561	0,00578
1428,223	0,00574
1431,885	0,00572
1435,547	0,00579
1439,209	0,00592
1442,871	0,00586
1446,533	0,00567
1450,195	0,00566
1453,857	0,00575
1457,520	0,00574
1461,182	0,00568
1464,844	0,00558
1468,506	0,00556
1472,168	0,00563
1475,830	0,00562
1479,492	0,00549
1483,154	0,00532
1486,816	0,00516
1490,479	0,00512
1494,141	0,00524
1497,803	0,00542
1501,465	0,00552
1505,127	0,00546
1508,789	0,0053
1512,451	0,00519
1516,113	0,00511
1519,775	0,00503
1523,438	0,00502
1527,100	0,00505
1530,762	0,00507
1534,424	0,00505
1538,086	0,00498
1541,748	0,00493
1545,410	0,00496
1549,072	0,005
1552,734	0,00501
1556,396	0,00502
1560,059	0,00499
1563,721	0,005
1567,383	0,00501
1571,045	0,00493
1574,707	0,00482
1578,369	0,00481
1582,031	0,00483
1585,693	0,00476
1589,355	0,00469
1593,018	0,00474
1596,680	0,00488
1600,342	0,00489
1604,004	0,00469
1607,666	0,00449
1611,328	0,00443
1614,990	0,00446
1618,652	0,00456
1622,314	0,00475
1625,977	0,00493
1629,639	0,00488
1633,301	0,00474
1636,963	0,00465
1640,625	0,0046
1644,287	0,00456
1647,949	0,00458
1651,611	0,00467
1655,273	0,00473
1658,936	0,00475
1662,598	0,00467
1666,260	0,00446
1669,922	0,00424
1673,584	0,00415
1677,246	0,00425
1680,908	0,00443
1684,570	0,00448
1688,232	0,00442
1691,895	0,00437
1695,557	0,00434
1699,219	0,00424
1702,881	0,00411
1706,543	0,00406
1710,205	0,00405
1713,867	0,00405
1717,529	0,00412
1721,191	0,00414
1724,854	0,00413
1728,516	0,0042
1732,178	0,0043
1735,840	0,00431
1739,502	0,00423
1743,164	0,00416
1746,826	0,00415
1750,488	0,00417
1754,150	0,00421
1757,813	0,00425
1761,475	0,00426
1765,137	0,00424
1768,799	0,00412
1772,461	0,00399
1776,123	0,00395
1779,785	0,004
1783,447	0,00402
1787,109	0,00395
1790,771	0,00386
1794,434	0,00384
1798,096	0,00387
1801,758	0,00387
1805,420	0,00387
1809,082	0,00391
1812,744	0,00396
1816,406	0,00397
1820,068	0,00397
1823,730	0,00395
1827,393	0,00388
1831,055	0,00381
1834,717	0,00387
1838,379	0,00401
1842,041	0,00409
1845,703	0,00409
1849,365	0,00398
1853,027	0,00385
1856,689	0,0038
1860,352	0,00385
1864,014	0,00396
1867,676	0,004
1871,338	0,00385
1875,000	0,00371
1878,662	0,00367
1882,324	0,00368
1885,986	0,00371
1889,648	0,00375
1893,311	0,00376
1896,973	0,00371
1900,635	0,00372
1904,297	0,00375
1907,959	0,00372
1911,621	0,00366
1915,283	0,00358
1918,945	0,00353
1922,607	0,00355
1926,270	0,00359
1929,932	0,00362
1933,594	0,0036
1937,256	0,00353
1940,918	0,00345
1944,580	0,00345
1948,242	0,00354
1951,904	0,00367
1955,566	0,00372
1959,229	0,00361
1962,891	0,00344
1966,553	0,00336
1970,215	0,00341
1973,877	0,00344
1977,539	0,00341
1981,201	0,00343
1984,863	0,00348
1988,525	0,00347
1992,188	0,00343
1995,850	0,00346
1999,512	0,00353
2003,174	0,00354
2006,836	0,00348
2010,498	0,00336
2014,160	0,00328
2017,822	0,0033
2021,484	0,00329
2025,146	0,00322
2028,809	0,00321
2032,471	0,00329
2036,133	0,00332
2039,795	0,00326
2043,457	0,00321
2047,119	0,00318
2050,781	0,00316
2054,443	0,00321
2058,105	0,00329
2061,768	0,00328
2065,430	0,00318
2069,092	0,0031
2072,754	0,00311
2076,416	0,00316
2080,078	0,00319
2083,740	0,00318
2087,402	0,0031
2091,064	0,00305
2094,727	0,00308
2098,389	0,00314
2102,051	0,00317
2105,713	0,00318
2109,375	0,00322
2113,037	0,00323
2116,699	0,0032
2120,361	0,00317
2124,023	0,00316
2127,686	0,00314
2131,348	0,00309
2135,010	0,0031
2138,672	0,00313
2142,334	0,00313
2145,996	0,00309
2149,658	0,00308
2153,320	0,00309
