Frequency [Hz]	S(f)
0,000	1,59
3,662	4
7,324	4,43
10,986	3,38
14,648	2,27
18,311	1,54
21,973	1,13
25,635	0,875
29,297	0,718
32,959	0,622
36,621	0,572
40,283	0,533
43,945	0,483
47,607	0,436
51,270	0,403
54,932	0,377
58,594	0,358
62,256	0,343
65,918	0,328
69,580	0,309
73,242	0,289
76,904	0,273
80,566	0,259
84,229	0,249
87,891	0,242
91,553	0,241
95,215	0,244
98,877	0,244
102,539	0,242
106,201	0,238
109,863	0,233
113,525	0,229
117,188	0,224
120,850	0,217
124,512	0,212
128,174	0,208
131,836	0,207
135,498	0,205
139,160	0,2
142,822	0,196
146,484	0,196
150,146	0,199
153,809	0,2
157,471	0,198
161,133	0,195
164,795	0,193
168,457	0,194
172,119	0,193
175,781	0,191
179,443	0,189
183,105	0,187
186,768	0,185
190,430	0,181
194,092	0,178
197,754	0,179
201,416	0,179
205,078	0,179
208,740	0,179
212,402	0,175
216,064	0,173
219,727	0,173
223,389	0,175
227,051	0,176
230,713	0,174
234,375	0,173
238,037	0,176
241,699	0,181
245,361	0,186
249,023	0,185
252,686	0,176
256,348	0,17
260,010	0,173
263,672	0,178
267,334	0,178
270,996	0,176
274,658	0,176
278,320	0,175
281,982	0,174
285,645	0,178
289,307	0,183
292,969	0,184
296,631	0,18
300,293	0,175
303,955	0,173
307,617	0,172
311,279	0,172
314,941	0,175
318,604	0,176
322,266	0,174
325,928	0,174
329,590	0,173
333,252	0,17
336,914	0,168
340,576	0,17
344,238	0,174
347,900	0,178
351,563	0,18
355,225	0,178
358,887	0,177
362,549	0,176
366,211	0,175
369,873	0,174
373,535	0,172
377,197	0,171
380,859	0,17
384,521	0,17
388,184	0,17
391,846	0,173
395,508	0,176
399,170	0,178
402,832	0,175
406,494	0,17
410,156	0,168
413,818	0,173
417,480	0,174
421,143	0,168
424,805	0,163
428,467	0,161
432,129	0,16
435,791	0,161
439,453	0,166
443,115	0,174
446,777	0,174
450,439	0,173
454,102	0,173
457,764	0,17
461,426	0,165
465,088	0,162
468,750	0,164
472,412	0,166
476,074	0,166
479,736	0,165
483,398	0,167
487,061	0,172
490,723	0,174
494,385	0,173
498,047	0,171
501,709	0,172
505,371	0,174
509,033	0,175
512,695	0,171
516,357	0,168
520,020	0,167
523,682	0,166
527,344	0,165
531,006	0,163
534,668	0,161
538,330	0,162
541,992	0,165
545,654	0,166
549,316	0,164
552,979	0,162
556,641	0,163
560,303	0,165
563,965	0,166
567,627	0,167
571,289	0,166
574,951	0,165
578,613	0,164
582,275	0,163
585,938	0,161
589,600	0,158
593,262	0,159
596,924	0,163
600,586	0,165
604,248	0,165
607,910	0,169
611,572	0,172
615,234	0,17
618,896	0,165
622,559	0,162
626,221	0,163
629,883	0,163
633,545	0,163
637,207	0,164
640,869	0,165
644,531	0,162
648,193	0,159
651,855	0,158
655,518	0,157
659,180	0,157
662,842	0,154
666,504	0,152
670,166	0,155
673,828	0,159
677,490	0,16
681,152	0,159
684,814	0,159
688,477	0,157
692,139	0,156
695,801	0,156
699,463	0,158
703,125	0,157
706,787	0,156
710,449	0,156
714,111	0,157
717,773	0,158
721,436	0,161
725,098	0,161
728,760	0,159
732,422	0,158
736,084	0,156
739,746	0,151
743,408	0,147
747,070	0,146
750,732	0,147
754,395	0,149
758,057	0,152
761,719	0,152
765,381	0,15
769,043	0,152
772,705	0,154
776,367	0,151
780,029	0,147
783,691	0,145
787,354	0,145
791,016	0,146
794,678	0,147
798,340	0,149
802,002	0,149
805,664	0,149
809,326	0,149
812,988	0,147
816,650	0,146
820,313	0,147
823,975	0,146
827,637	0,142
831,299	0,141
834,961	0,144
838,623	0,147
842,285	0,15
845,947	0,149
849,609	0,146
853,271	0,142
856,934	0,14
860,596	0,139
864,258	0,138
867,920	0,138
871,582	0,139
875,244	0,139
878,906	0,144
882,568	0,147
886,230	0,143
889,893	0,138
893,555	0,136
897,217	0,137
900,879	0,139
904,541	0,141
908,203	0,14
911,865	0,139
915,527	0,138
919,189	0,136
922,852	0,135
926,514	0,136
930,176	0,136
933,838	0,135
937,500	0,136
941,162	0,137
944,824	0,134
948,486	0,131
952,148	0,13
955,811	0,132
