Frequency [Hz]	S(f)
0,000	0,403
3,662	0,995
7,324	1,11
10,986	0,943
14,648	0,788
18,311	0,673
21,973	0,579
25,635	0,515
29,297	0,477
32,959	0,451
36,621	0,436
40,283	0,421
43,945	0,404
47,607	0,389
51,270	0,38
54,932	0,372
58,594	0,364
62,256	0,359
65,918	0,356
69,580	0,353
73,242	0,347
76,904	0,339
80,566	0,336
84,229	0,336
87,891	0,333
91,553	0,325
95,215	0,319
98,877	0,319
102,539	0,322
106,201	0,318
109,863	0,307
113,525	0,298
117,188	0,29
120,850	0,283
124,512	0,28
128,174	0,28
131,836	0,28
135,498	0,275
139,160	0,27
142,822	0,267
146,484	0,263
150,146	0,258
153,809	0,252
157,471	0,251
161,133	0,253
164,795	0,247
168,457	0,232
172,119	0,219
175,781	0,216
179,443	0,218
183,105	0,219
186,768	0,217
190,430	0,215
194,092	0,213
197,754	0,207
201,416	0,201
205,078	0,193
208,740	0,186
212,402	0,189
216,064	0,19
219,727	0,184
223,389	0,179
227,051	0,178
230,713	0,177
234,375	0,177
238,037	0,175
241,699	0,17
245,361	0,161
249,023	0,151
252,686	0,146
256,348	0,146
260,010	0,148
263,672	0,148
267,334	0,146
270,996	0,144
274,658	0,142
278,320	0,138
281,982	0,137
285,645	0,137
289,307	0,135
292,969	0,13
296,631	0,127
300,293	0,124
303,955	0,123
307,617	0,125
311,279	0,126
314,941	0,124
318,604	0,119
322,266	0,119
325,928	0,12
329,590	0,119
333,252	0,116
336,914	0,112
340,576	0,108
344,238	0,105
347,900	0,103
351,563	0,103
355,225	0,102
358,887	0,0978
362,549	0,0945
366,211	0,0933
369,873	0,0921
373,535	0,0922
377,197	0,093
380,859	0,0913
384,521	0,089
388,184	0,0883
391,846	0,0877
395,508	0,0868
399,170	0,0863
402,832	0,0869
406,494	0,0868
410,156	0,0847
413,818	0,0823
417,480	0,0806
421,143	0,0801
424,805	0,0797
428,467	0,0781
432,129	0,0769
435,791	0,0768
439,453	0,0764
443,115	0,0746
446,777	0,0725
450,439	0,0714
454,102	0,0709
457,764	0,0702
461,426	0,0699
465,088	0,0688
468,750	0,0665
472,412	0,0646
476,074	0,0636
479,736	0,0627
483,398	0,0626
487,061	0,0637
490,723	0,0633
494,385	0,062
498,047	0,0616
501,709	0,0605
505,371	0,0594
509,033	0,0596
512,695	0,0591
516,357	0,0572
520,020	0,0559
523,682	0,0557
527,344	0,0559
531,006	0,0558
534,668	0,0559
538,330	0,056
541,992	0,0551
545,654	0,0536
549,316	0,0536
552,979	0,0543
556,641	0,054
560,303	0,0526
563,965	0,0501
567,627	0,0483
571,289	0,0486
574,951	0,0486
578,613	0,0472
582,275	0,0463
585,938	0,0469
589,600	0,048
593,262	0,0484
596,924	0,0478
600,586	0,0466
604,248	0,0455
607,910	0,0451
611,572	0,0448
615,234	0,0441
618,896	0,044
622,559	0,0442
626,221	0,0435
629,883	0,0418
633,545	0,04
637,207	0,0394
640,869	0,0391
644,531	0,0386
648,193	0,0389
651,855	0,0399
655,518	0,0407
659,180	0,0409
662,842	0,0408
666,504	0,0403
670,166	0,0392
673,828	0,0382
677,490	0,0373
681,152	0,0369
684,814	0,0375
688,477	0,0384
692,139	0,0382
695,801	0,0372
699,463	0,0364
703,125	0,0361
706,787	0,0354
710,449	0,0344
714,111	0,034
717,773	0,0342
721,436	0,0342
725,098	0,0342
728,760	0,0347
732,422	0,0351
736,084	0,0344
739,746	0,0332
743,408	0,033
747,070	0,0333
750,732	0,0329
754,395	0,032
758,057	0,0316
761,719	0,0316
765,381	0,0318
769,043	0,0315
772,705	0,0305
776,367	0,0298
780,029	0,0296
783,691	0,0297
787,354	0,0297
791,016	0,0294
794,678	0,0293
798,340	0,0296
802,002	0,0297
805,664	0,029
809,326	0,0282
812,988	0,0282
816,650	0,0282
820,313	0,0276
823,975	0,027
827,637	0,0268
831,299	0,0266
834,961	0,0268
838,623	0,0276
842,285	0,0283
845,947	0,0284
849,609	0,0283
853,271	0,0275
856,934	0,0266
860,596	0,0264
864,258	0,0266
867,920	0,0262
871,582	0,0255
875,244	0,0249
878,906	0,0245
882,568	0,0245
886,230	0,0246
889,893	0,0244
893,555	0,0242
897,217	0,0242
900,879	0,0241
904,541	0,0239
908,203	0,0236
911,865	0,0234
915,527	0,0236
919,189	0,0238
922,852	0,0237
926,514	0,0234
930,176	0,0233
933,838	0,0233
937,500	0,0231
941,162	0,0223
944,824	0,0212
948,486	0,0206
952,148	0,0206
955,811	0,0208
959,473	0,0208
963,135	0,021
966,797	0,0214
970,459	0,0218
974,121	0,0218
977,783	0,0215
981,445	0,0211
985,107	0,0209
988,770	0,0206
992,432	0,02
996,094	0,0198
999,756	0,0199
1003,418	0,0198
1007,080	0,0193
1010,742	0,019
1014,404	0,0194
1018,066	0,0197
1021,729	0,0199
1025,391	0,02
1029,053	0,0195
1032,715	0,0185
1036,377	0,018
1040,039	0,0178
1043,701	0,0174
1047,363	0,0172
1051,025	0,0175
1054,688	0,0177
1058,350	0,0177
1062,012	0,0177
1065,674	0,0178
1069,336	0,0182
1072,998	0,0183
1076,660	0,0179
1080,322	0,0176
1083,984	0,0174
1087,646	0,0172
1091,309	0,0171
1094,971	0,0169
1098,633	0,0167
1102,295	0,0167
1105,957	0,0168
1109,619	0,0169
1113,281	0,0167
1116,943	0,0166
1120,605	0,0166
1124,268	0,0167
1127,930	0,0169
1131,592	0,0165
1135,254	0,0157
1138,916	0,0153
1142,578	0,0154
1146,240	0,0153
1149,902	0,0151
1153,564	0,0149
1157,227	0,0148
1160,889	0,0145
1164,551	0,0145
1168,213	0,0148
1171,875	0,0152
1175,537	0,0155
1179,199	0,0156
1182,861	0,0155
1186,523	0,0153
1190,186	0,0153
1193,848	0,0151
1197,510	0,0149
1201,172	0,0146
1204,834	0,0146
1208,496	0,0147
1212,158	0,0148
1215,820	0,0147
1219,482	0,0148
1223,145	0,0148
1226,807	0,0145
1230,469	0,014
1234,131	0,0138
1237,793	0,0137
