Frequency [Hz]	S(f)
0,000	0,112
3,662	0,315
7,324	0,401
10,986	0,367
14,648	0,315
18,311	0,282
21,973	0,26
25,635	0,237
29,297	0,211
32,959	0,187
36,621	0,169
40,283	0,154
43,945	0,139
47,607	0,123
51,270	0,111
54,932	0,103
58,594	0,0954
62,256	0,0872
65,918	0,0789
69,580	0,0703
73,242	0,063
76,904	0,0592
80,566	0,0572
84,229	0,0551
87,891	0,0519
91,553	0,0477
95,215	0,0443
98,877	0,0421
102,539	0,0401
106,201	0,037
109,863	0,0341
113,525	0,0322
117,188	0,0309
120,850	0,0302
124,512	0,0291
128,174	0,0273
131,836	0,0257
135,498	0,0245
139,160	0,0238
142,822	0,0234
146,484	0,0227
150,146	0,0218
153,809	0,0209
157,471	0,0199
161,133	0,0191
164,795	0,0182
168,457	0,0176
172,119	0,017
175,781	0,0168
179,443	0,0167
183,105	0,0164
186,768	0,0159
190,430	0,0153
194,092	0,0147
197,754	0,0142
201,416	0,0135
205,078	0,0129
208,740	0,0123
212,402	0,0121
216,064	0,0118
219,727	0,0118
223,389	0,0118
227,051	0,0115
230,713	0,011
234,375	0,0104
238,037	0,0101
241,699	0,01
245,361	0,00981
249,023	0,00948
252,686	0,00923
256,348	0,00912
260,010	0,00893
263,672	0,0087
267,334	0,00853
270,996	0,00822
274,658	0,00796
278,320	0,00791
281,982	0,00786
285,645	0,00762
289,307	0,00726
292,969	0,00701
296,631	0,00688
300,293	0,00676
303,955	0,00668
307,617	0,00665
311,279	0,00658
314,941	0,00648
318,604	0,00638
322,266	0,00618
325,928	0,00598
329,590	0,00583
333,252	0,00566
336,914	0,00562
340,576	0,0056
344,238	0,00551
347,900	0,00537
351,563	0,00528
355,225	0,00533
358,887	0,00536
362,549	0,00533
366,211	0,00526
369,873	0,00512
373,535	0,00495
377,197	0,00483
380,859	0,00474
384,521	0,0047
388,184	0,00465
391,846	0,00456
395,508	0,00445
399,170	0,00433
402,832	0,00431
406,494	0,00437
410,156	0,00436
413,818	0,00423
417,480	0,00407
421,143	0,00398
424,805	0,00395
