Frequency [Hz]	S(f)
0,000	0,00358
3,662	0,0105
7,324	0,0146
10,986	0,0148
14,648	0,0141
18,311	0,014
21,973	0,0141
25,635	0,0141
29,297	0,014
32,959	0,0139
36,621	0,0139
40,283	0,0136
43,945	0,0134
47,607	0,0135
51,270	0,0136
54,932	0,0133
58,594	0,013
62,256	0,0131
65,918	0,0134
69,580	0,0133
73,242	0,0129
76,904	0,0126
80,566	0,0128
84,229	0,0131
87,891	0,0132
91,553	0,0131
95,215	0,013
98,877	0,0129
102,539	0,0128
106,201	0,0126
109,863	0,0125
113,525	0,0126
117,188	0,0126
120,850	0,0126
124,512	0,0126
128,174	0,0125
131,836	0,0123
135,498	0,0122
139,160	0,0124
142,822	0,0123
146,484	0,0122
150,146	0,0124
153,809	0,0125
157,471	0,0125
161,133	0,0123
164,795	0,0124
168,457	0,0125
172,119	0,0122
175,781	0,0118
179,443	0,0117
183,105	0,0119
186,768	0,012
190,430	0,0118
194,092	0,0118
197,754	0,0123
201,416	0,0127
205,078	0,0127
208,740	0,0124
212,402	0,0123
216,064	0,0121
219,727	0,012
223,389	0,0117
227,051	0,0116
230,713	0,0116
234,375	0,0119
238,037	0,0122
241,699	0,0123
245,361	0,012
249,023	0,0118
252,686	0,0118
256,348	0,0118
260,010	0,0118
263,672	0,0119
267,334	0,012
270,996	0,0121
274,658	0,012
278,320	0,0117
281,982	0,0115
285,645	0,0115
289,307	0,0116
292,969	0,0115
296,631	0,0114
300,293	0,0114
303,955	0,0116
307,617	0,0116
311,279	0,0114
314,941	0,011
318,604	0,0109
322,266	0,011
325,928	0,0114
329,590	0,0116
333,252	0,0116
336,914	0,0114
340,576	0,0112
344,238	0,0111
347,900	0,0112
351,563	0,0113
355,225	0,0115
358,887	0,0118
362,549	0,0115
366,211	0,0109
369,873	0,0108
373,535	0,0112
377,197	0,0116
380,859	0,0117
384,521	0,0115
388,184	0,0111
391,846	0,0107
395,508	0,0107
399,170	0,011
402,832	0,0113
406,494	0,0113
410,156	0,0112
413,818	0,0112
417,480	0,0113
421,143	0,0112
424,805	0,0112
428,467	0,0113
432,129	0,0116
435,791	0,0115
439,453	0,0111
443,115	0,0108
446,777	0,0107
450,439	0,0107
454,102	0,0107
457,764	0,0107
461,426	0,0106
465,088	0,0106
468,750	0,0108
472,412	0,0112
476,074	0,0113
479,736	0,0111
483,398	0,0111
487,061	0,0112
490,723	0,0111
494,385	0,0108
498,047	0,0108
501,709	0,011
505,371	0,0109
509,033	0,0107
512,695	0,0105
516,357	0,0105
520,020	0,0106
523,682	0,0108
527,344	0,0107
531,006	0,0107
534,668	0,0107
538,330	0,0108
541,992	0,0108
545,654	0,0108
549,316	0,0106
552,979	0,0103
556,641	0,0102
560,303	0,0104
563,965	0,0105
567,627	0,0104
571,289	0,0103
574,951	0,0103
578,613	0,0105
582,275	0,0106
585,938	0,0106
589,600	0,0105
593,262	0,0105
596,924	0,0107
600,586	0,0106
604,248	0,0103
607,910	0,00993
611,572	0,00994
615,234	0,0102
618,896	0,0103
622,559	0,0104
626,221	0,0104
629,883	0,0105
633,545	0,0105
637,207	0,0104
640,869	0,0103
644,531	0,0102
648,193	0,0103
651,855	0,0103
655,518	0,0102
659,180	0,0101
662,842	0,0103
666,504	0,0103
670,166	0,0101
673,828	0,00999
677,490	0,00997
681,152	0,00995
684,814	0,00988
688,477	0,00979
692,139	0,00982
695,801	0,00999
699,463	0,0102
703,125	0,0103
706,787	0,0103
710,449	0,0103
714,111	0,0102
717,773	0,01
721,436	0,01
725,098	0,0101
728,760	0,0103
732,422	0,0102
736,084	0,00995
739,746	0,00973
743,408	0,0097
747,070	0,00981
750,732	0,00992
754,395	0,00998
758,057	0,01
761,719	0,0101
765,381	0,0102
769,043	0,0101
772,705	0,01
776,367	0,01
780,029	0,0102
783,691	0,0104
787,354	0,0103
791,016	0,0101
794,678	0,00993
798,340	0,00967
802,002	0,00963
805,664	0,00991
809,326	0,0101
812,988	0,00996
816,650	0,00967
820,313	0,0096
823,975	0,00972
827,637	0,00986
831,299	0,01
834,961	0,0101
838,623	0,00996
842,285	0,00996
845,947	0,00993
849,609	0,00969
853,271	0,00959
856,934	0,00963
860,596	0,00956
864,258	0,00959
867,920	0,00973
871,582	0,00967
875,244	0,00959
878,906	0,00958
882,568	0,00962
886,230	0,00974
889,893	0,00989
893,555	0,00997
897,217	0,00981
900,879	0,00953
904,541	0,00945
908,203	0,00956
911,865	0,00947
915,527	0,00926
919,189	0,00922
922,852	0,00935
926,514	0,00974
930,176	0,0102
933,838	0,0102
937,500	0,00982
941,162	0,00955
944,824	0,00946
948,486	0,00946
952,148	0,00944
955,811	0,0094
959,473	0,00955
963,135	0,00991
966,797	0,0102
970,459	0,0103
974,121	0,0102
977,783	0,0099
981,445	0,00963
985,107	0,00949
988,770	0,00938
992,432	0,00926
996,094	0,00926
999,756	0,00938
1003,418	0,00933
1007,080	0,00908
1010,742	0,00898
1014,404	0,00899
1018,066	0,00906
1021,729	0,00926
1025,391	0,00951
1029,053	0,00967
1032,715	0,00955
1036,377	0,00947
1040,039	0,00961
1043,701	0,00962
1047,363	0,00953
1051,025	0,00951
1054,688	0,00938
1058,350	0,00911
1062,012	0,00902
1065,674	0,00918
1069,336	0,00922
1072,998	0,00915
1076,660	0,00914
1080,322	0,00926
1083,984	0,00957
1087,646	0,00985
1091,309	0,00977
1094,971	0,00947
1098,633	0,00932
1102,295	0,00934
1105,957	0,00922
1109,619	0,00904
1113,281	0,00913
1116,943	0,00936
1120,605	0,0095
1124,268	0,00953
1127,930	0,00937
1131,592	0,00915
1135,254	0,00911
1138,916	0,0091
1142,578	0,00898
1146,240	0,00889
1149,902	0,00884
1153,564	0,00892
1157,227	0,00916
1160,889	0,0094
1164,551	0,00954
1168,213	0,00948
1171,875	0,00938
1175,537	0,00937
1179,199	0,00941
1182,861	0,00945
1186,523	0,00935
1190,186	0,0091
1193,848	0,00892
1197,510	0,00886
1201,172	0,00885
1204,834	0,00892
1208,496	0,00901
1212,158	0,00902
1215,820	0,00904
1219,482	0,00904
1223,145	0,00919
1226,807	0,0095
1230,469	0,00955
1234,131	0,00921
1237,793	0,00889
1241,455	0,00887
1245,117	0,0089
1248,779	0,0088
1252,441	0,00864
1256,104	0,00855
1259,766	0,00864
1263,428	0,00887
1267,090	0,00911
1270,752	0,0092
1274,414	0,00913
1278,076	0,00905
1281,738	0,00903
1285,400	0,00904
1289,063	0,0089
1292,725	0,00867
1296,387	0,00862
1300,049	0,00861
1303,711	0,00858
1307,373	0,00876
1311,035	0,00904
1314,697	0,00906
1318,359	0,0088
1322,021	0,00855
1325,684	0,00854
1329,346	0,00881
1333,008	0,00909
1336,670	0,00905
1340,332	0,00879
1343,994	0,00858
1347,656	0,00844
1351,318	0,00839
1354,980	0,00849
1358,643	0,00872
1362,305	0,0089
1365,967	0,00894
1369,629	0,00887
1373,291	0,00865
1376,953	0,00839
1380,615	0,00828
1384,277	0,00827
1387,939	0,00826
1391,602	0,00828
1395,264	0,00849
1398,926	0,00871
1402,588	0,0088
1406,250	0,00884
1409,912	0,0088
1413,574	0,00869
1417,236	0,00859
1420,898	0,00869
1424,561	0,00892
1428,223	0,00895
1431,885	0,00883
1435,547	0,00869
1439,209	0,0086
1442,871	0,00865
1446,533	0,00879
1450,195	0,00881
1453,857	0,00859
1457,520	0,00842
1461,182	0,00847
1464,844	0,00845
1468,506	0,00835
1472,168	0,00839
1475,830	0,00851
1479,492	0,00857
1483,154	0,00853
1486,816	0,00843
1490,479	0,00848
1494,141	0,00868
1497,803	0,00868
1501,465	0,00843
1505,127	0,0082
1508,789	0,00813
1512,451	0,00823
1516,113	0,00832
1519,775	0,00833
1523,438	0,00836
1527,100	0,00847
1530,762	0,00855
1534,424	0,00857
1538,086	0,00854
1541,748	0,00856
1545,410	0,00864
1549,072	0,00862
1552,734	0,0085
1556,396	0,00847
1560,059	0,00854
1563,721	0,00849
1567,383	0,00816
1571,045	0,00792
1574,707	0,00806
1578,369	0,0083
1582,031	0,00837
1585,693	0,00839
1589,355	0,00837
1593,018	0,00827
1596,680	0,00813
1600,342	0,00804
1604,004	0,00807
1607,666	0,00815
1611,328	0,00814
1614,990	0,00807
1618,652	0,00805
1622,314	0,00804
