Frequency [Hz]	S(f)
0,000	0,48
3,662	1,2
7,324	1,31
10,986	1,03
14,648	0,78
18,311	0,629
21,973	0,529
25,635	0,464
29,297	0,425
32,959	0,401
36,621	0,378
40,283	0,353
43,945	0,332
47,607	0,318
51,270	0,309
54,932	0,304
58,594	0,298
62,256	0,286
65,918	0,274
69,580	0,266
73,242	0,267
76,904	0,275
80,566	0,28
84,229	0,278
87,891	0,274
91,553	0,266
95,215	0,259
98,877	0,261
102,539	0,268
106,201	0,27
109,863	0,268
113,525	0,267
117,188	0,268
120,850	0,272
124,512	0,275
128,174	0,277
131,836	0,278
135,498	0,271
139,160	0,261
142,822	0,259
146,484	0,261
150,146	0,257
153,809	0,249
157,471	0,25
161,133	0,261
164,795	0,269
168,457	0,268
172,119	0,262
175,781	0,254
179,443	0,244
183,105	0,239
186,768	0,241
190,430	0,242
194,092	0,242
197,754	0,244
201,416	0,248
205,078	0,249
208,740	0,248
212,402	0,247
216,064	0,248
219,727	0,244
223,389	0,235
227,051	0,231
230,713	0,238
234,375	0,247
238,037	0,248
241,699	0,239
245,361	0,231
249,023	0,229
252,686	0,227
256,348	0,223
260,010	0,222
263,672	0,224
267,334	0,224
270,996	0,225
274,658	0,223
278,320	0,219
281,982	0,219
285,645	0,22
289,307	0,223
292,969	0,225
296,631	0,221
300,293	0,217
303,955	0,217
307,617	0,216
311,279	0,213
314,941	0,213
318,604	0,21
322,266	0,203
325,928	0,197
329,590	0,193
333,252	0,192
336,914	0,194
340,576	0,2
344,238	0,203
347,900	0,2
351,563	0,196
355,225	0,191
358,887	0,187
362,549	0,187
366,211	0,187
369,873	0,181
373,535	0,176
377,197	0,175
380,859	0,177
384,521	0,179
388,184	0,176
391,846	0,173
395,508	0,171
399,170	0,167
402,832	0,162
406,494	0,161
410,156	0,165
413,818	0,169
417,480	0,168
421,143	0,163
424,805	0,157
428,467	0,152
432,129	0,151
435,791	0,151
439,453	0,152
443,115	0,152
446,777	0,152
450,439	0,152
454,102	0,154
457,764	0,157
461,426	0,153
465,088	0,145
468,750	0,141
472,412	0,14
476,074	0,138
479,736	0,14
483,398	0,144
487,061	0,145
490,723	0,144
494,385	0,141
498,047	0,135
501,709	0,132
505,371	0,13
509,033	0,129
512,695	0,128
516,357	0,125
520,020	0,123
523,682	0,124
527,344	0,125
531,006	0,125
534,668	0,125
538,330	0,125
541,992	0,125
545,654	0,125
549,316	0,125
552,979	0,125
556,641	0,123
560,303	0,118
563,965	0,115
567,627	0,115
571,289	0,115
574,951	0,113
578,613	0,112
582,275	0,113
585,938	0,11
589,600	0,107
593,262	0,107
596,924	0,107
600,586	0,107
604,248	0,107
607,910	0,108
611,572	0,109
615,234	0,108
618,896	0,108
622,559	0,108
626,221	0,107
629,883	0,105
633,545	0,104
637,207	0,104
640,869	0,104
644,531	0,105
648,193	0,104
651,855	0,0994
655,518	0,0973
659,180	0,0978
662,842	0,0974
666,504	0,0956
670,166	0,0937
673,828	0,0914
677,490	0,0895
681,152	0,0897
684,814	0,0911
688,477	0,0928
692,139	0,0933
695,801	0,0923
699,463	0,0911
703,125	0,09
706,787	0,088
710,449	0,0856
714,111	0,086
717,773	0,0887
721,436	0,0896
725,098	0,0878
728,760	0,0859
732,422	0,0847
736,084	0,0833
739,746	0,0817
743,408	0,081
747,070	0,0812
750,732	0,0814
754,395	0,0827
758,057	0,0834
761,719	0,0824
765,381	0,082
769,043	0,0818
772,705	0,0806
776,367	0,079
780,029	0,0773
783,691	0,0765
787,354	0,0771
791,016	0,0772
794,678	0,0758
798,340	0,0748
802,002	0,075
805,664	0,0736
809,326	0,0711
812,988	0,0705
816,650	0,0721
820,313	0,0734
823,975	0,0724
827,637	0,07
831,299	0,0683
834,961	0,0679
838,623	0,0683
842,285	0,0692
845,947	0,0701
849,609	0,0698
853,271	0,0674
856,934	0,0652
860,596	0,0651
864,258	0,0656
867,920	0,0661
871,582	0,0661
875,244	0,0657
878,906	0,0655
882,568	0,0656
886,230	0,0658
889,893	0,0656
893,555	0,0639
897,217	0,0615
900,879	0,0607
904,541	0,0612
908,203	0,0608
911,865	0,0603
915,527	0,0603
919,189	0,0595
922,852	0,0583
926,514	0,0573
930,176	0,057
933,838	0,058
937,500	0,0594
941,162	0,059
944,824	0,0574
948,486	0,0565
952,148	0,0563
955,811	0,0561
959,473	0,0557
963,135	0,0545
966,797	0,0536
970,459	0,0541
974,121	0,0558
977,783	0,0572
981,445	0,0571
985,107	0,0561
988,770	0,0554
992,432	0,055
996,094	0,0548
999,756	0,0546
1003,418	0,054
1007,080	0,0538
1010,742	0,0536
1014,404	0,0531
1018,066	0,0524
1021,729	0,0519
1025,391	0,0519
1029,053	0,0518
1032,715	0,0512
1036,377	0,0509
1040,039	0,0502
1043,701	0,0495
1047,363	0,0494
1051,025	0,0492
1054,688	0,0487
1058,350	0,0479
1062,012	0,0473
1065,674	0,0481
1069,336	0,0491
1072,998	0,0486
1076,660	0,0475
1080,322	0,0469
1083,984	0,0469
1087,646	0,0465
1091,309	0,0461
1094,971	0,0464
1098,633	0,0469
1102,295	0,0471
1105,957	0,0468
1109,619	0,0463
1113,281	0,0458
1116,943	0,0459
1120,605	0,0457
1124,268	0,0441
1127,930	0,0427
1131,592	0,0422
1135,254	0,0424
1138,916	0,043
1142,578	0,0426
1146,240	0,0417
1149,902	0,0415
1153,564	0,0412
1157,227	0,0409
1160,889	0,0417
1164,551	0,0431
1168,213	0,0442
1171,875	0,044
1175,537	0,0426
1179,199	0,0413
1182,861	0,0399
1186,523	0,0387
1190,186	0,0385
1193,848	0,039
1197,510	0,0396
1201,172	0,0391
1204,834	0,0381
1208,496	0,0379
1212,158	0,0382
1215,820	0,0384
1219,482	0,0384
1223,145	0,0382
1226,807	0,0377
1230,469	0,0372
1234,131	0,0372
1237,793	0,0377
1241,455	0,0381
1245,117	0,0382
1248,779	0,0383
1252,441	0,0384
1256,104	0,0383
1259,766	0,0381
1263,428	0,0378
1267,090	0,037
1270,752	0,0361
1274,414	0,0355
1278,076	0,0354
1281,738	0,0355
1285,400	0,0353
1289,063	0,0354
1292,725	0,0358
1296,387	0,0352
1300,049	0,034
1303,711	0,0335
1307,373	0,034
1311,035	0,0342
1314,697	0,0341
1318,359	0,034
1322,021	0,0334
1325,684	0,0326
1329,346	0,0325
1333,008	0,0333
1336,670	0,0338
1340,332	0,0336
1343,994	0,0332
1347,656	0,0327
1351,318	0,0323
1354,980	0,032
1358,643	0,0317
1362,305	0,0315
1365,967	0,0319
1369,629	0,0327
1373,291	0,0335
1376,953	0,0334
1380,615	0,0325
1384,277	0,0318
1387,939	0,0312
1391,602	0,0309
1395,264	0,0305
1398,926	0,0303
1402,588	0,0308
1406,250	0,0312
1409,912	0,0311
1413,574	0,0306
1417,236	0,0301
1420,898	0,0301
1424,561	0,0302
1428,223	0,0306
1431,885	0,0306
1435,547	0,0299
1439,209	0,0294
1442,871	0,0296
1446,533	0,0304
1450,195	0,0304
1453,857	0,0293
1457,520	0,0283
1461,182	0,0286
1464,844	0,0289
1468,506	0,0285
1472,168	0,0283
1475,830	0,0282
1479,492	0,0276
1483,154	0,0271
1486,816	0,0268
1490,479	0,0269
1494,141	0,0273
1497,803	0,028
1501,465	0,0284
1505,127	0,0279
1508,789	0,0275
1512,451	0,0278
1516,113	0,0276
1519,775	0,0267
1523,438	0,0265
1527,100	0,0266
1530,762	0,0266
1534,424	0,0265
1538,086	0,0264
1541,748	0,0265
1545,410	0,0266
1549,072	0,0265
1552,734	0,0267
1556,396	0,0268
1560,059	0,0265
1563,721	0,0262
1567,383	0,0261
1571,045	0,0261
1574,707	0,0254
1578,369	0,0246
1582,031	0,0248
1585,693	0,0256
1589,355	0,0259
1593,018	0,0257
1596,680	0,0255
1600,342	0,025
1604,004	0,0245
1607,666	0,0241
1611,328	0,0242
1614,990	0,0244
1618,652	0,0243
1622,314	0,0241
1625,977	0,0239
1629,639	0,0235
1633,301	0,0236
1636,963	0,0243
1640,625	0,0245
1644,287	0,0237
1647,949	0,0227
1651,611	0,0221
1655,273	0,0224
1658,936	0,0235
1662,598	0,0244
1666,260	0,0242
1669,922	0,0235
1673,584	0,0228
1677,246	0,0226
1680,908	0,0231
1684,570	0,0236
1688,232	0,0234
1691,895	0,0225
1695,557	0,0216
1699,219	0,0215
1702,881	0,0221
1706,543	0,0222
1710,205	0,0218
1713,867	0,0219
1717,529	0,0223
1721,191	0,0222
1724,854	0,0213
1728,516	0,0204
1732,178	0,0201
1735,840	0,0203
1739,502	0,0205
1743,164	0,0204
1746,826	0,0205
1750,488	0,0209
1754,150	0,0213
1757,813	0,0213
1761,475	0,0209
1765,137	0,0205
1768,799	0,0203
1772,461	0,0203
1776,123	0,0202
1779,785	0,0199
1783,447	0,0197
1787,109	0,0198
1790,771	0,0199
1794,434	0,0198
1798,096	0,02
1801,758	0,0205
1805,420	0,0202
1809,082	0,0192
1812,744	0,0185
1816,406	0,0188
1820,068	0,0196
1823,730	0,0202
1827,393	0,0202
1831,055	0,0199
1834,717	0,0198
1838,379	0,0196
1842,041	0,0191
1845,703	0,0191
1849,365	0,0193
1853,027	0,0193
1856,689	0,0188
1860,352	0,0185
1864,014	0,0189
1867,676	0,0194
1871,338	0,019
1875,000	0,0182
1878,662	0,018
1882,324	0,0186
1885,986	0,0189
1889,648	0,0186
1893,311	0,0183
1896,973	0,0183
1900,635	0,0184
1904,297	0,0184
1907,959	0,0181
1911,621	0,0178
1915,283	0,0175
1918,945	0,0172
1922,607	0,0169
1926,270	0,0169
1929,932	0,0175
1933,594	0,0182
1937,256	0,0182
1940,918	0,0177
1944,580	0,0176
1948,242	0,0175
1951,904	0,0171
1955,566	0,0169
1959,229	0,0168
1962,891	0,0167
1966,553	0,0169
1970,215	0,0173
1973,877	0,0174
1977,539	0,0171
1981,201	0,0168
1984,863	0,0167
1988,525	0,0169
1992,188	0,0172
1995,850	0,0175
1999,512	0,0177
2003,174	0,0175
2006,836	0,017
2010,498	0,0163
2014,160	0,0161
2017,822	0,0166
2021,484	0,0171
2025,146	0,0168
2028,809	0,0161
2032,471	0,0159
2036,133	0,016
2039,795	0,0162
2043,457	0,0164
2047,119	0,0164
2050,781	0,0161
2054,443	0,0159
2058,105	0,0157
2061,768	0,0153
2065,430	0,0151
2069,092	0,0155
2072,754	0,0159
2076,416	0,0158
2080,078	0,0157
2083,740	0,0158
2087,402	0,016
2091,064	0,0158
2094,727	0,0156
2098,389	0,0156
2102,051	0,0158
2105,713	0,016
2109,375	0,0159
2113,037	0,0152
2116,699	0,0148
2120,361	0,0148
2124,023	0,015
2127,686	0,0151
2131,348	0,0152
2135,010	0,0151
2138,672	0,0147
2142,334	0,0141
2145,996	0,0141
2149,658	0,0146
2153,320	0,0149
2156,982	0,0149
2160,645	0,0147
