Frequency [Hz]	S(f)
0,000	0,542
3,662	1,33
7,324	1,4
10,986	1,04
14,648	0,757
18,311	0,607
21,973	0,514
25,635	0,442
29,297	0,396
32,959	0,368
36,621	0,346
40,283	0,322
43,945	0,302
47,607	0,29
51,270	0,281
54,932	0,269
58,594	0,26
62,256	0,257
65,918	0,254
69,580	0,249
73,242	0,248
76,904	0,251
80,566	0,251
84,229	0,247
87,891	0,246
91,553	0,25
95,215	0,253
98,877	0,252
102,539	0,248
106,201	0,244
109,863	0,239
113,525	0,236
117,188	0,239
120,850	0,242
124,512	0,243
128,174	0,246
131,836	0,253
135,498	0,255
139,160	0,251
142,822	0,247
146,484	0,248
150,146	0,251
153,809	0,251
157,471	0,249
161,133	0,247
164,795	0,246
168,457	0,249
172,119	0,253
175,781	0,259
179,443	0,262
183,105	0,26
186,768	0,252
190,430	0,242
194,092	0,238
197,754	0,238
201,416	0,24
205,078	0,242
208,740	0,244
212,402	0,243
216,064	0,24
219,727	0,242
223,389	0,247
227,051	0,252
230,713	0,25
234,375	0,246
238,037	0,246
241,699	0,244
245,361	0,238
249,023	0,233
252,686	0,231
256,348	0,229
260,010	0,234
263,672	0,241
267,334	0,239
270,996	0,233
274,658	0,233
278,320	0,239
281,982	0,242
285,645	0,239
289,307	0,23
292,969	0,223
296,631	0,219
300,293	0,218
303,955	0,218
307,617	0,219
311,279	0,22
314,941	0,217
318,604	0,213
322,266	0,209
325,928	0,207
329,590	0,209
333,252	0,214
336,914	0,218
340,576	0,214
344,238	0,207
347,900	0,2
351,563	0,201
355,225	0,207
358,887	0,207
362,549	0,199
366,211	0,193
369,873	0,192
373,535	0,191
377,197	0,188
380,859	0,188
384,521	0,188
388,184	0,187
391,846	0,185
395,508	0,185
399,170	0,191
402,832	0,198
406,494	0,199
410,156	0,194
413,818	0,188
417,480	0,185
421,143	0,184
424,805	0,182
428,467	0,179
432,129	0,178
435,791	0,182
439,453	0,191
443,115	0,192
446,777	0,185
450,439	0,179
454,102	0,176
457,764	0,172
461,426	0,166
465,088	0,164
468,750	0,169
472,412	0,176
476,074	0,177
479,736	0,172
483,398	0,169
487,061	0,168
490,723	0,165
494,385	0,159
498,047	0,158
501,709	0,162
505,371	0,163
509,033	0,161
512,695	0,157
516,357	0,153
520,020	0,149
523,682	0,146
527,344	0,145
531,006	0,148
534,668	0,152
538,330	0,151
541,992	0,148
545,654	0,146
549,316	0,147
552,979	0,145
556,641	0,141
560,303	0,141
563,965	0,143
567,627	0,143
571,289	0,141
574,951	0,139
578,613	0,138
582,275	0,138
585,938	0,138
589,600	0,136
593,262	0,132
596,924	0,131
600,586	0,133
604,248	0,134
607,910	0,132
611,572	0,128
615,234	0,124
618,896	0,125
622,559	0,127
626,221	0,127
629,883	0,126
633,545	0,124
637,207	0,123
640,869	0,122
644,531	0,122
648,193	0,121
651,855	0,12
655,518	0,121
659,180	0,124
662,842	0,123
666,504	0,12
670,166	0,117
673,828	0,117
677,490	0,119
681,152	0,119
684,814	0,117
688,477	0,114
692,139	0,112
695,801	0,111
699,463	0,111
703,125	0,112
706,787	0,111
710,449	0,11
714,111	0,109
717,773	0,108
721,436	0,107
725,098	0,105
728,760	0,103
732,422	0,101
736,084	0,101
739,746	0,102
743,408	0,101
747,070	0,102
750,732	0,105
754,395	0,105
758,057	0,103
761,719	0,103
765,381	0,103
769,043	0,0998
772,705	0,0958
776,367	0,0933
780,029	0,0932
783,691	0,0937
787,354	0,0945
791,016	0,0941
794,678	0,092
798,340	0,0908
802,002	0,0907
805,664	0,0908
809,326	0,0916
812,988	0,0919
816,650	0,0911
820,313	0,0905
823,975	0,0903
827,637	0,0885
831,299	0,0859
834,961	0,0865
838,623	0,0892
842,285	0,09
845,947	0,088
849,609	0,0853
853,271	0,0837
856,934	0,0823
860,596	0,0801
864,258	0,0791
867,920	0,0814
871,582	0,0855
875,244	0,0863
878,906	0,084
882,568	0,0829
886,230	0,0828
889,893	0,0817
893,555	0,0801
897,217	0,0785
900,879	0,0777
904,541	0,0788
908,203	0,0805
911,865	0,0803
915,527	0,0789
919,189	0,0779
922,852	0,078
926,514	0,0786
930,176	0,0785
933,838	0,0769
937,500	0,0744
941,162	0,0728
944,824	0,073
948,486	0,0734
952,148	0,0736
955,811	0,074
959,473	0,074
963,135	0,0733
966,797	0,0727
970,459	0,0715
974,121	0,0702
977,783	0,0709
981,445	0,0715
985,107	0,0697
988,770	0,068
992,432	0,0686
996,094	0,0705
999,756	0,0705
1003,418	0,0693
1007,080	0,0687
1010,742	0,0671
1014,404	0,0648
1018,066	0,0644
1021,729	0,0651
1025,391	0,0654
1029,053	0,0649
1032,715	0,0643
1036,377	0,064
1040,039	0,0635
1043,701	0,0633
1047,363	0,0644
1051,025	0,0653
1054,688	0,0641
1058,350	0,0624
1062,012	0,0618
1065,674	0,0614
1069,336	0,0608
1072,998	0,0604
1076,660	0,0606
1080,322	0,0604
1083,984	0,0592
1087,646	0,0597
1091,309	0,062
