Frequency [Hz]	S(f)
0,000	1,33
3,662	3,41
7,324	3,85
10,986	3,01
14,648	2,08
18,311	1,44
21,973	1,05
25,635	0,829
29,297	0,68
32,959	0,575
36,621	0,502
40,283	0,453
43,945	0,412
47,607	0,375
51,270	0,35
54,932	0,336
58,594	0,318
62,256	0,301
65,918	0,286
69,580	0,267
73,242	0,251
76,904	0,24
80,566	0,233
84,229	0,222
87,891	0,21
91,553	0,203
95,215	0,2
98,877	0,199
102,539	0,195
106,201	0,19
109,863	0,185
113,525	0,18
117,188	0,174
120,850	0,17
124,512	0,164
128,174	0,158
131,836	0,154
135,498	0,154
139,160	0,153
142,822	0,152
146,484	0,151
150,146	0,152
153,809	0,153
157,471	0,152
161,133	0,148
164,795	0,146
168,457	0,146
172,119	0,147
175,781	0,147
179,443	0,143
183,105	0,141
186,768	0,14
190,430	0,139
194,092	0,138
197,754	0,137
201,416	0,138
205,078	0,137
208,740	0,134
212,402	0,129
216,064	0,126
219,727	0,125
223,389	0,125
227,051	0,125
230,713	0,123
234,375	0,121
238,037	0,121
241,699	0,123
245,361	0,126
249,023	0,131
252,686	0,133
256,348	0,129
260,010	0,125
263,672	0,124
267,334	0,125
270,996	0,126
274,658	0,124
278,320	0,121
281,982	0,118
285,645	0,118
289,307	0,122
292,969	0,124
296,631	0,126
300,293	0,127
303,955	0,126
307,617	0,126
311,279	0,124
314,941	0,123
318,604	0,125
322,266	0,126
325,928	0,126
329,590	0,125
333,252	0,125
336,914	0,124
340,576	0,123
344,238	0,121
347,900	0,122
351,563	0,124
355,225	0,126
358,887	0,123
362,549	0,12
366,211	0,118
369,873	0,117
373,535	0,117
377,197	0,116
380,859	0,114
384,521	0,115
388,184	0,118
391,846	0,118
395,508	0,119
399,170	0,122
402,832	0,122
406,494	0,119
410,156	0,116
413,818	0,116
417,480	0,118
421,143	0,118
424,805	0,115
428,467	0,114
432,129	0,115
435,791	0,116
439,453	0,117
443,115	0,118
446,777	0,117
450,439	0,117
454,102	0,119
457,764	0,121
461,426	0,12
465,088	0,119
468,750	0,121
472,412	0,124
476,074	0,123
479,736	0,119
483,398	0,117
487,061	0,116
490,723	0,117
494,385	0,119
498,047	0,118
501,709	0,115
505,371	0,114
509,033	0,115
512,695	0,115
516,357	0,117
520,020	0,118
523,682	0,116
527,344	0,115
531,006	0,116
534,668	0,116
538,330	0,115
541,992	0,113
545,654	0,112
549,316	0,113
552,979	0,113
556,641	0,112
560,303	0,114
563,965	0,114
567,627	0,114
571,289	0,115
574,951	0,116
578,613	0,117
582,275	0,118
585,938	0,117
589,600	0,116
593,262	0,115
596,924	0,116
600,586	0,118
604,248	0,119
607,910	0,118
611,572	0,117
615,234	0,114
618,896	0,11
622,559	0,11
626,221	0,11
629,883	0,111
633,545	0,114
637,207	0,117
640,869	0,117
644,531	0,115
648,193	0,113
651,855	0,111
655,518	0,11
659,180	0,112
662,842	0,114
666,504	0,113
670,166	0,11
673,828	0,109
677,490	0,113
681,152	0,115
684,814	0,114
688,477	0,113
692,139	0,114
695,801	0,114
699,463	0,113
703,125	0,114
706,787	0,116
710,449	0,117
714,111	0,115
717,773	0,11
721,436	0,107
725,098	0,107
728,760	0,108
732,422	0,108
736,084	0,108
739,746	0,109
743,408	0,111
747,070	0,112
750,732	0,114
754,395	0,116
758,057	0,116
761,719	0,114
765,381	0,111
769,043	0,109
772,705	0,109
776,367	0,109
780,029	0,11
783,691	0,111
787,354	0,111
791,016	0,11
794,678	0,108
798,340	0,106
802,002	0,105
805,664	0,106
809,326	0,107
812,988	0,109
816,650	0,108
820,313	0,106
823,975	0,108
827,637	0,111
831,299	0,112
834,961	0,112
838,623	0,112
842,285	0,11
845,947	0,108
849,609	0,107
853,271	0,106
856,934	0,103
860,596	0,104
864,258	0,106
867,920	0,108
871,582	0,108
875,244	0,104
878,906	0,103
882,568	0,102
886,230	0,102
889,893	0,102
893,555	0,103
897,217	0,103
900,879	0,102
904,541	0,102
908,203	0,103
911,865	0,102
915,527	0,102
919,189	0,103
922,852	0,104
926,514	0,105
930,176	0,104
933,838	0,102
937,500	0,101
941,162	0,102
944,824	0,104
948,486	0,106
952,148	0,107
955,811	0,108
959,473	0,109
963,135	0,107
966,797	0,104
970,459	0,102
974,121	0,101
977,783	0,0991
981,445	0,1
985,107	0,102
988,770	0,102
992,432	0,102
996,094	0,1
999,756	0,098
1003,418	0,0972
1007,080	0,0986
1010,742	0,101
1014,404	0,103
1018,066	0,101
1021,729	0,0981
1025,391	0,0967
1029,053	0,0979
1032,715	0,101
1036,377	0,101
1040,039	0,0992
1043,701	0,0971
1047,363	0,0968
1051,025	0,0988
1054,688	0,1
1058,350	0,1
1062,012	0,0991
1065,674	0,0986
1069,336	0,0988
1072,998	0,0989
1076,660	0,098
1080,322	0,096
1083,984	0,0955
1087,646	0,0963
1091,309	0,0968
1094,971	0,0976
1098,633	0,0978
1102,295	0,0957
1105,957	0,0922
1109,619	0,0893
1113,281	0,0899
1116,943	0,0924
1120,605	0,0925
1124,268	0,0916
1127,930	0,0918
1131,592	0,0923
1135,254	0,0927
1138,916	0,0928
1142,578	0,0932
1146,240	0,0945
1149,902	0,0954
1153,564	0,0953
1157,227	0,0941
1160,889	0,0916
1164,551	0,0887
1168,213	0,086
1171,875	0,0853
1175,537	0,0863
1179,199	0,0873
1182,861	0,0889
1186,523	0,0905
1190,186	0,0913
1193,848	0,0912
1197,510	0,0902
1201,172	0,0901
1204,834	0,0908
1208,496	0,0896
1212,158	0,0869
1215,820	0,0874
1219,482	0,0897
1223,145	0,0886
1226,807	0,0859
1230,469	0,0846
1234,131	0,0834
1237,793	0,0836
1241,455	0,0852
1245,117	0,086
1248,779	0,0859
1252,441	0,0856
1256,104	0,0864
1259,766	0,0885
1263,428	0,089
1267,090	0,0871
1270,752	0,0864
1274,414	0,0885
1278,076	0,0893
1281,738	0,0872
1285,400	0,0858
1289,063	0,0859
1292,725	0,086
1296,387	0,0858
1300,049	0,0856
1303,711	0,0851
1307,373	0,0844
1311,035	0,0841
1314,697	0,0844
1318,359	0,0843
1322,021	0,0845
1325,684	0,0853
1329,346	0,0844
1333,008	0,0831
1336,670	0,0833
1340,332	0,0834
1343,994	0,0823
1347,656	0,0812
1351,318	0,0809
1354,980	0,0812
1358,643	0,0808
1362,305	0,0808
1365,967	0,0823
1369,629	0,0832
1373,291	0,0824
1376,953	0,0808
1380,615	0,0795
1384,277	0,0787
1387,939	0,0785
1391,602	0,0789
1395,264	0,0793
1398,926	0,0788
1402,588	0,0792
1406,250	0,0808
1409,912	0,0816
1413,574	0,0805
1417,236	0,08
1420,898	0,0816
1424,561	0,082
1428,223	0,0799
1431,885	0,0769
1435,547	0,0749
1439,209	0,0758
1442,871	0,0784
1446,533	0,078
1450,195	0,0751
1453,857	0,0743
1457,520	0,0749
1461,182	0,0742
1464,844	0,0732
1468,506	0,0739
1472,168	0,0748
1475,830	0,0746
1479,492	0,0748
1483,154	0,0746
1486,816	0,0733
1490,479	0,0723
1494,141	0,0726
1497,803	0,0743
1501,465	0,0753
1505,127	0,0745
1508,789	0,0732
1512,451	0,0726
1516,113	0,0722
1519,775	0,0716
1523,438	0,0719
1527,100	0,0721
1530,762	0,0717
1534,424	0,0722
1538,086	0,0722
1541,748	0,0708
1545,410	0,0699
1549,072	0,0697
1552,734	0,0697
1556,396	0,0698
1560,059	0,0701
1563,721	0,07
1567,383	0,0689
1571,045	0,0675
1574,707	0,0668
1578,369	0,0666
1582,031	0,067
1585,693	0,0683
1589,355	0,0696
1593,018	0,0699
1596,680	0,0692
1600,342	0,0682
1604,004	0,0667
1607,666	0,0653
1611,328	0,0661
1614,990	0,068
1618,652	0,0686
1622,314	0,0679
1625,977	0,0666
1629,639	0,0654
1633,301	0,0651
1636,963	0,0653
1640,625	0,0654
1644,287	0,0651
1647,949	0,0656
1651,611	0,0669
1655,273	0,0675
1658,936	0,0666
