Frequency [Hz]	S(f)
0,000	0,79
3,662	1,98
7,324	2,16
10,986	1,64
14,648	1,12
18,311	0,793
21,973	0,622
25,635	0,535
29,297	0,479
32,959	0,431
36,621	0,386
40,283	0,35
43,945	0,325
47,607	0,31
51,270	0,3
54,932	0,293
58,594	0,284
62,256	0,275
65,918	0,268
69,580	0,261
73,242	0,258
76,904	0,258
80,566	0,253
84,229	0,243
87,891	0,235
91,553	0,232
95,215	0,237
98,877	0,242
102,539	0,242
106,201	0,239
109,863	0,234
113,525	0,228
117,188	0,222
120,850	0,222
124,512	0,223
128,174	0,223
131,836	0,222
135,498	0,221
139,160	0,223
142,822	0,221
146,484	0,212
150,146	0,206
153,809	0,209
157,471	0,214
161,133	0,216
164,795	0,215
168,457	0,214
172,119	0,216
175,781	0,215
179,443	0,213
183,105	0,216
186,768	0,218
190,430	0,218
194,092	0,217
197,754	0,215
201,416	0,212
205,078	0,211
208,740	0,213
212,402	0,216
216,064	0,213
219,727	0,209
223,389	0,213
227,051	0,217
230,713	0,216
234,375	0,216
238,037	0,22
241,699	0,225
245,361	0,226
249,023	0,227
252,686	0,225
256,348	0,219
260,010	0,216
263,672	0,216
267,334	0,218
270,996	0,218
274,658	0,217
278,320	0,215
281,982	0,214
285,645	0,212
289,307	0,211
292,969	0,215
296,631	0,217
300,293	0,218
303,955	0,217
307,617	0,215
311,279	0,214
314,941	0,217
318,604	0,22
322,266	0,218
325,928	0,215
329,590	0,217
333,252	0,219
336,914	0,218
340,576	0,219
344,238	0,224
347,900	0,225
351,563	0,222
355,225	0,219
358,887	0,216
362,549	0,213
366,211	0,211
369,873	0,212
373,535	0,213
377,197	0,217
380,859	0,222
384,521	0,225
388,184	0,219
391,846	0,209
395,508	0,207
399,170	0,214
402,832	0,222
406,494	0,222
410,156	0,218
413,818	0,216
417,480	0,212
421,143	0,208
424,805	0,206
428,467	0,205
432,129	0,203
435,791	0,201
439,453	0,201
443,115	0,204
446,777	0,204
450,439	0,203
454,102	0,203
457,764	0,205
461,426	0,204
465,088	0,203
468,750	0,202
472,412	0,201
476,074	0,2
479,736	0,202
483,398	0,205
487,061	0,203
490,723	0,201
494,385	0,198
498,047	0,197
501,709	0,199
505,371	0,198
509,033	0,196
512,695	0,197
516,357	0,196
520,020	0,194
523,682	0,19
527,344	0,186
531,006	0,183
534,668	0,185
538,330	0,189
541,992	0,19
545,654	0,19
549,316	0,188
552,979	0,184
556,641	0,181
560,303	0,181
563,965	0,182
567,627	0,183
571,289	0,184
574,951	0,183
578,613	0,179
582,275	0,178
585,938	0,18
589,600	0,182
593,262	0,181
596,924	0,18
600,586	0,179
604,248	0,177
607,910	0,175
611,572	0,171
615,234	0,167
618,896	0,165
622,559	0,168
626,221	0,175
629,883	0,179
633,545	0,178
637,207	0,177
640,869	0,177
644,531	0,175
648,193	0,169
651,855	0,166
655,518	0,168
659,180	0,169
662,842	0,17
666,504	0,17
670,166	0,168
673,828	0,169
677,490	0,168
681,152	0,164
684,814	0,163
688,477	0,162
692,139	0,159
695,801	0,157
699,463	0,156
703,125	0,155
706,787	0,154
710,449	0,154
714,111	0,153
717,773	0,152
721,436	0,152
725,098	0,154
728,760	0,156
732,422	0,157
736,084	0,158
739,746	0,159
743,408	0,16
747,070	0,157
750,732	0,151
754,395	0,149
758,057	0,149
761,719	0,149
765,381	0,151
769,043	0,149
772,705	0,147
776,367	0,144
780,029	0,141
783,691	0,143
787,354	0,146
791,016	0,145
794,678	0,141
798,340	0,137
802,002	0,134
805,664	0,134
809,326	0,133
812,988	0,13
816,650	0,129
820,313	0,132
823,975	0,133
827,637	0,133
831,299	0,131
834,961	0,128
838,623	0,127
842,285	0,129
845,947	0,131
849,609	0,131
853,271	0,13
856,934	0,13
860,596	0,13
864,258	0,129
867,920	0,127
871,582	0,124
875,244	0,123
878,906	0,122
882,568	0,12
886,230	0,121
889,893	0,123
893,555	0,122
897,217	0,121
