Frequency [Hz]	S(f)
0,000	0,0116
3,662	0,0276
7,324	0,0285
10,986	0,0218
14,648	0,0171
18,311	0,0147
21,973	0,0135
25,635	0,0129
29,297	0,0123
32,959	0,0119
36,621	0,0118
40,283	0,0117
43,945	0,0115
47,607	0,0114
51,270	0,0114
54,932	0,0114
58,594	0,0114
62,256	0,0113
65,918	0,011
69,580	0,0111
73,242	0,0113
76,904	0,0116
80,566	0,0116
84,229	0,0113
87,891	0,011
91,553	0,0109
95,215	0,0109
98,877	0,0109
102,539	0,0111
106,201	0,0112
109,863	0,0112
113,525	0,011
117,188	0,0108
120,850	0,0106
124,512	0,0106
128,174	0,0107
131,836	0,0108
135,498	0,0108
139,160	0,0108
142,822	0,0108
146,484	0,0107
150,146	0,0106
153,809	0,0105
157,471	0,0102
161,133	0,0102
164,795	0,0105
168,457	0,0105
172,119	0,0103
175,781	0,0103
179,443	0,0103
183,105	0,0102
186,768	0,00999
190,430	0,01
194,092	0,0103
197,754	0,0105
201,416	0,0104
205,078	0,0103
208,740	0,0102
212,402	0,01
216,064	0,00999
219,727	0,01
223,389	0,0101
227,051	0,0103
230,713	0,0104
234,375	0,0104
238,037	0,0102
241,699	0,01
245,361	0,01
249,023	0,01
252,686	0,0099
256,348	0,0097
260,010	0,00957
263,672	0,00969
267,334	0,00987
270,996	0,00987
274,658	0,00984
278,320	0,00987
281,982	0,00981
285,645	0,00959
289,307	0,00946
292,969	0,00956
296,631	0,0096
300,293	0,00957
303,955	0,00964
307,617	0,00968
311,279	0,0096
314,941	0,00961
318,604	0,00978
322,266	0,00976
325,928	0,00951
329,590	0,00932
333,252	0,00934
336,914	0,00954
340,576	0,0097
344,238	0,00956
347,900	0,0093
351,563	0,00935
355,225	0,00956
358,887	0,0095
362,549	0,00933
366,211	0,00937
369,873	0,00949
373,535	0,0094
377,197	0,00914
380,859	0,009
384,521	0,00914
388,184	0,00938
391,846	0,0094
395,508	0,00931
399,170	0,00928
402,832	0,00925
406,494	0,00926
410,156	0,00938
413,818	0,00944
417,480	0,00937
421,143	0,0093
424,805	0,00932
428,467	0,00935
432,129	0,00934
435,791	0,00927
439,453	0,00919
443,115	0,00928
446,777	0,00946
450,439	0,00947
